# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '5' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-18-5.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '17' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "435697896"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,96600,345,951,0,2004,0,100,0,256,9464,348,148,4,638,9949,434
2.,79887,557,997,1,18321,21,214,2,483,2428,559,385,26,396,19614,803
3.,70433,629,1008,7,27439,78,397,9,670,344,641,480,72,98,29553,1106
4.,64635,586,951,18,32946,180,657,27,812,151,576,397,111,53,39560,1331
5.,60385,474,906,42,36943,277,917,56,926,101,419,244,122,30,49418,1514
6.,57383,430,879,63,39737,307,1099,102,1046,77,310,138,122,29,59289,1674
7.,55028,411,839,82,41870,303,1296,171,1188,61,245,74,95,31,69293,1829
8.,53145,372,862,110,43551,305,1391,264,1283,43,180,61,62,24,79142,1968
9.,51549,342,854,148,44971,293,1498,345,1335,42,165,49,37,29,89022,2084
10.,50117,347,875,195,46219,263,1541,443,1394,34,162,29,27,21,98947,2203
11.,48964,322,871,237,47186,261,1616,543,1486,37,149,38,21,14,108782,2322
12.,48096,319,858,276,47880,259,1671,641,1532,33,151,27,19,19,118511,2449
13.,47389,318,871,317,48403,255,1687,760,1590,13,125,21,16,17,128438,2531
14.,46878,314,879,391,48737,233,1719,849,1590,24,118,18,24,8,138392,2606
15.,46430,319,891,475,48984,248,1698,955,1669,28,143,23,17,14,148332,2678
16.,46014,308,858,534,49228,251,1750,1057,1732,25,134,20,13,13,158215,2805
17.,45527,322,881,577,49512,260,1740,1181,1764,22,133,19,16,8,168051,2871
18.,45111,317,894,662,49752,231,1745,1288,1780,22,113,17,15,17,177920,2954
19.,44764,283,885,743,49955,228,1760,1382,1736,25,101,17,14,9,187723,2994
20.,44581,277,872,799,49959,218,1800,1494,1746,16,111,22,17,10,197728,3043
21.,44334,279,864,862,50037,230,1781,1613,1789,21,114,19,16,9,207525,3109
22.,44137,297,847,926,50041,228,1789,1735,1810,22,133,14,16,8,217128,3164
23.,44110,294,824,1022,49929,217,1782,1822,1821,16,106,17,13,13,226707,3187
24.,44034,291,824,1108,49842,214,1761,1926,1817,21,113,21,11,10,236405,3218
25.,44166,281,839,1183,49548,216,1727,2040,1835,11,105,19,18,12,246153,3275
26.,44052,284,804,1289,49508,206,1743,2114,1830,17,101,16,18,17,255829,3276
27.,43916,286,809,1376,49485,208,1730,2190,1828,21,105,12,10,11,265749,3296
28.,43860,276,837,1449,49376,213,1705,2284,1822,19,110,17,16,14,275465,3302
29.,43835,301,796,1573,49233,208,1696,2358,1832,13,120,14,17,11,285052,3353
30.,44046,309,805,1639,48837,239,1685,2440,1797,22,121,26,15,16,294979,3360
31.,44045,276,812,1724,48685,225,1723,2510,1811,21,114,17,25,13,304681,3368
32.,43915,260,822,1750,48664,231,1714,2644,1833,7,97,10,21,12,314390,3382
33.,43867,272,826,1830,48561,218,1697,2729,1810,19,85,15,21,17,324147,3414
34.,43770,295,802,1929,48490,225,1688,2801,1837,14,102,16,10,9,333887,3436
35.,43770,293,801,2001,48346,220,1692,2877,1874,23,100,22,15,9,343695,3446
36.,43734,302,780,2086,48230,216,1703,2949,1908,20,91,22,10,14,353518,3473
37.,43649,279,798,2208,48162,203,1695,3006,1865,14,97,28,13,14,363152,3490
38.,43520,294,771,2280,48135,196,1690,3114,1884,11,102,15,13,10,372846,3490
39.,43402,286,782,2341,48104,177,1699,3209,1899,20,116,18,21,12,382603,3494
40.,43501,291,787,2411,47847,187,1674,3302,1871,15,121,21,15,14,392193,3495
41.,43455,273,792,2466,47743,200,1654,3417,1849,18,111,22,16,7,401892,3515
42.,43529,258,783,2576,47510,209,1670,3465,1870,14,108,19,14,13,411820,3548
43.,43495,272,790,2701,47399,209,1633,3501,1871,34,102,18,17,13,421419,3532
44.,43408,276,762,2818,47314,226,1632,3564,1856,22,92,26,15,14,431376,3513
45.,43516,275,774,2856,47065,208,1636,3670,1889,16,94,18,17,11,441163,3538
46.,43334,270,783,2911,47082,204,1648,3768,1886,16,100,19,19,13,450917,3576
47.,43257,291,786,2955,46993,213,1648,3857,1876,19,116,26,21,17,460641,3605
48.,43362,263,782,3066,46733,220,1678,3896,1867,10,90,11,17,15,470294,3617
49.,43364,272,767,3132,46578,191,1708,3988,1870,9,91,12,11,7,479809,3585
50.,43312,270,760,3192,46497,176,1688,4105,1907,23,111,13,21,13,489743,3572
51.,43164,259,773,3238,46488,193,1667,4218,1950,20,92,11,13,30,499417,3597
52.,42874,253,795,3300,46620,183,1658,4317,1970,19,114,19,16,10,509232,3609
53.,42673,260,782,3382,46663,179,1686,4375,1942,16,117,21,28,13,519006,3609
54.,42540,255,775,3439,46650,175,1671,4495,1941,19,123,13,18,12,528567,3632
55.,42409,248,781,3534,46639,169,1660,4560,1971,16,113,17,19,20,538208,3621
56.,42415,249,796,3599,46483,175,1634,4649,1944,19,109,19,16,8,547889,3625
57.,42392,262,749,3669,46368,169,1643,4748,1940,22,98,23,20,16,557607,3626
