# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '14' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-15-14.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '14' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '0.5' '-var' 'm' '500.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '0.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "322228027"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,88452,324,874,1,10136,21,192,0,263,114,321,101,7,0,510,508
2.,81585,353,705,1,16700,168,485,3,473,25,272,76,17,1,969,968
3.,77131,308,680,5,20908,269,689,10,660,9,125,31,20,1,1330,1328
4.,73637,330,663,10,24169,296,867,28,805,16,83,9,14,0,1702,1701
5.,70807,325,687,27,26787,310,1005,52,952,7,55,14,7,1,2071,2071
6.,68271,350,708,46,29089,324,1117,95,1076,6,46,1,6,0,2421,2420
7.,66112,356,731,76,31032,316,1246,131,1175,6,40,2,6,1,2766,2764
8.,64041,341,772,97,32897,311,1334,207,1274,10,23,1,3,0,3094,3093
9.,62214,345,804,136,34524,302,1401,274,1378,7,33,6,2,1,3388,3387
10.,60433,366,829,181,36082,294,1464,351,1456,4,31,4,2,0,3626,3625
11.,59129,373,831,229,37172,300,1512,454,1523,2,25,3,1,0,3892,3890
12.,57790,377,897,265,38270,312,1534,555,1596,5,26,3,3,1,4095,4095
13.,56532,392,910,328,39303,301,1598,636,1631,9,24,1,3,0,4307,4305
14.,55433,380,950,400,40155,328,1636,718,1655,3,19,5,2,0,4501,4501
15.,54500,392,966,456,40831,317,1701,837,1671,2,14,1,1,0,4666,4666
16.,53559,388,1005,500,41517,330,1744,957,1665,4,22,5,1,0,4816,4815
17.,52640,371,1007,581,42200,345,1812,1044,1731,6,10,3,1,0,4997,4996
18.,51868,363,1019,656,42753,335,1842,1164,1761,3,10,2,2,0,5166,5166
19.,51246,352,1037,738,43143,352,1846,1286,1800,1,12,2,1,0,5310,5309
20.,50625,348,1025,787,43567,330,1884,1434,1786,2,9,2,1,0,5463,5463
21.,50245,350,1017,840,43721,321,1936,1570,1799,8,15,1,0,0,5587,5586
22.,49739,362,1036,915,43992,298,1966,1692,1790,2,14,2,3,0,5687,5684
23.,49474,348,1026,983,44053,315,1962,1839,1819,3,8,1,2,0,5748,5748
24.,49147,345,1023,1051,44166,299,1977,1992,1809,3,7,3,0,0,5835,5835
25.,48869,327,1015,1153,44231,313,1985,2107,1807,3,7,1,2,0,5900,5899
26.,48582,317,1025,1228,44297,308,1983,2260,1809,1,12,2,1,0,5979,5978
27.,48311,338,1016,1295,44340,312,1958,2430,1816,1,7,0,2,0,6058,6057
28.,48004,337,1020,1356,44444,301,1969,2569,1808,2,10,4,1,0,6102,6101
29.,47655,336,1005,1445,44588,284,1974,2713,1799,1,10,1,1,0,6170,6170
30.,47554,326,994,1500,44493,282,1995,2856,1781,3,11,0,1,1,6242,6241
31.,47441,315,980,1593,44404,288,1998,2981,1772,1,5,1,1,0,6277,6277
32.,47344,330,968,1681,44299,289,1967,3122,1769,1,8,1,0,0,6315,6313
33.,47238,339,973,1774,44191,270,1959,3256,1809,2,7,2,0,0,6380,6380
34.,47135,330,980,1861,44110,277,1925,3382,1810,1,6,1,1,0,6422,6422
35.,46949,358,967,1929,44085,261,1919,3532,1804,0,7,1,1,1,6456,6456
36.,46885,346,975,2012,43951,270,1876,3685,1841,0,10,0,2,0,6486,6485
37.,46654,340,1001,2122,43972,251,1872,3788,1868,0,8,1,0,0,6525,6524
38.,46496,350,1006,2197,43920,244,1864,3923,1855,2,10,3,2,1,6518,6518
39.,46267,352,991,2276,43945,244,1870,4055,1827,1,8,0,1,0,6522,6521
