# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '3' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-59-3.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '58' '-var' 'INIT_I' '100.0' '-var' 'k_result' '12' '-var' 'm' '500.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '0.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "139562757"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99720,35,90,0,141,0,14,0,254,1053,32,5,0,684,513,254
2.,99456,64,111,0,357,0,11,1,481,1962,64,17,1,2485,961,848
3.,98302,71,110,2,1474,0,40,1,706,2461,71,34,4,4523,1345,1344
4.,96439,92,125,3,3287,2,50,2,839,2801,94,43,8,5611,1707,1703
5.,93360,115,135,6,6309,2,71,2,970,2636,109,57,17,5152,2093,2089
6.,89977,135,153,7,9626,7,90,5,1093,2307,117,79,22,3955,2439,2438
7.,87428,141,176,15,12114,5,108,13,1180,2198,125,90,23,3249,2748,2748
8.,85138,158,192,24,14333,6,126,23,1290,2182,133,109,36,2499,3093,3093
9.,82693,179,219,41,16704,6,134,24,1390,1882,149,137,40,1765,3401,3401
10.,81023,183,234,53,18309,6,151,41,1419,1693,144,161,52,1319,3686,3683
11.,79408,204,252,69,19835,10,171,51,1457,1629,160,181,60,1122,3873,3873
12.,77981,211,273,99,21174,10,180,72,1518,1572,183,196,71,905,4047,4047
13.,76622,233,315,113,22425,9,196,87,1556,1606,201,213,94,768,4300,4298
14.,75578,263,328,138,23365,10,212,106,1577,1756,220,220,116,766,4483,4483
15.,74559,275,366,165,24266,5,238,126,1594,1992,228,262,128,729,4661,4660
16.,73479,304,399,191,25221,8,263,135,1623,2076,249,282,150,710,4830,4830
17.,71864,324,428,212,26705,13,281,173,1673,1994,266,324,172,634,5007,5007
18.,70182,334,465,247,28253,16,317,186,1686,1722,291,345,200,527,5205,5204
19.,68976,367,501,294,29297,18,340,207,1722,1709,312,393,216,530,5331,5331
20.,67855,378,525,343,30289,20,351,239,1722,1793,302,430,251,506,5466,5465
21.,66611,419,551,392,31355,19,393,260,1756,1789,356,434,277,432,5614,5613
22.,65432,425,618,449,32361,21,411,283,1783,1805,376,463,335,376,5744,5740
23.,64210,437,627,516,33416,20,460,314,1814,1718,395,497,362,366,5805,5802
24.,63173,496,654,567,34234,21,494,361,1810,1681,451,546,395,331,5925,5925
25.,62082,499,698,630,35146,24,530,391,1816,1527,450,601,441,293,5987,5986
26.,60984,514,740,688,36049,28,556,441,1825,1516,463,652,459,272,6064,6064
27.,59903,511,754,773,36937,31,604,487,1862,1539,455,681,520,256,6092,6091
28.,58770,522,799,844,37860,38,608,559,1868,1477,461,703,570,207,6142,6141
29.,57812,534,804,920,38613,32,667,618,1876,1439,478,747,611,193,6214,6211
30.,56823,533,839,986,39402,39,691,687,1874,1445,479,756,646,192,6277,6275
31.,56105,564,859,1078,39893,51,698,752,1864,1438,509,775,706,183,6352,6352
32.,55569,595,894,1149,40201,51,710,831,1856,1455,528,824,726,180,6358,6357
33.,54762,591,910,1237,40781,55,765,899,1892,1323,554,834,785,173,6407,6407
34.,54186,587,972,1290,41117,59,786,1003,1870,1469,586,857,825,181,6472,6472
35.,53463,607,977,1372,41602,54,830,1095,1812,1360,607,890,882,165,6509,6507
36.,52923,652,966,1473,41877,49,875,1185,1832,1273,655,893,913,149,6564,6564
37.,52437,667,984,1553,42131,44,919,1265,1793,1251,639,920,931,149,6582,6580
38.,52013,677,983,1676,42315,51,934,1351,1813,1325,628,929,973,134,6628,6626
39.,51632,664,958,1767,42476,68,988,1447,1829,1142,616,918,947,153,6675,6674
40.,51302,654,920,1841,42582,64,1067,1570,1798,1075,626,864,1008,128,6669,6669
41.,51173,645,924,1947,42493,71,1079,1668,1810,1000,616,874,1051,132,6673,6673
42.,51129,626,954,2043,42313,72,1072,1791,1787,1079,616,863,998,102,6729,6729
43.,50843,622,958,2150,42400,67,1064,1896,1785,1002,589,864,972,113,6748,6748
44.,50658,624,941,2257,42360,61,1100,1999,1795,975,586,829,975,114,6773,6773
45.,50531,606,954,2336,42271,63,1122,2117,1859,1057,576,866,918,128,6787,6786
46.,50189,591,997,2443,42381,61,1106,2232,1904,1053,578,884,952,122,6752,6752
47.,50068,577,946,2580,42304,59,1124,2342,1896,942,563,872,869,117,6809,6806
