# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '9' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-94-9.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '93' '-var' 'INIT_I' '10.0' '-var' 'k_result' '12' '-var' 'm' '500.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "779431225"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99990,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,98989,3,10,0,997,0,1,0,289,3,2,2,0,99,487,272
2.,96735,4,9,0,3249,0,3,0,521,1,4,0,0,83,969,521
3.,93872,4,9,0,6111,1,3,0,708,2,4,1,0,54,1388,745
4.,90654,6,8,0,9326,1,5,0,865,0,5,1,1,34,1818,938
5.,87580,9,11,0,12395,0,5,0,978,3,7,3,1,36,2211,1114
6.,84555,13,12,1,15413,0,5,1,1102,1,11,4,1,39,2604,1303
7.,81724,15,12,1,18238,1,8,1,1199,1,12,5,1,28,2991,1482
8.,79208,12,16,1,20750,2,9,2,1302,0,9,7,2,24,3360,1638
9.,76887,10,17,1,23069,4,9,3,1383,2,8,9,2,11,3736,1765
10.,74808,17,22,1,25137,4,8,3,1451,0,12,12,3,16,4090,1868
11.,73006,20,28,1,26927,4,9,5,1496,1,16,11,3,7,4443,1986
12.,71482,22,28,2,28445,2,13,6,1543,1,15,11,4,13,4790,2066
13.,70230,26,28,5,29684,2,18,7,1562,0,13,12,5,9,5146,2111
14.,68954,26,26,8,30948,3,26,9,1568,1,17,10,4,10,5469,2164
15.,68094,30,27,8,31792,7,30,12,1595,0,18,7,5,7,5835,2227
16.,67428,24,31,9,32451,6,34,17,1643,1,17,10,4,5,6184,2262
17.,66766,16,30,10,33109,7,41,21,1657,1,11,13,2,6,6549,2323
18.,66205,16,29,14,33662,7,40,27,1680,0,10,10,2,7,6953,2380
19.,65580,12,33,20,34281,5,40,29,1750,0,11,7,4,6,7265,2435
20.,65054,13,36,22,34798,6,40,31,1782,0,13,10,4,8,7561,2468
21.,64732,15,37,23,35110,7,40,36,1816,0,10,12,3,7,7876,2535
22.,64278,19,34,28,35551,8,44,38,1858,0,13,5,4,5,8172,2617
23.,63867,22,40,28,35945,8,44,46,1832,1,16,7,3,8,8434,2661
24.,63536,20,34,31,36270,7,53,49,1861,0,13,3,4,1,8775,2701
25.,63276,27,32,35,36519,7,51,53,1860,0,15,3,4,4,9109,2744
26.,63078,23,32,36,36708,8,56,59,1892,0,11,4,2,0,9403,2789
27.,62876,25,29,43,36901,8,57,61,1889,1,11,2,2,2,9676,2805
28.,62788,24,31,43,36982,7,52,73,1877,1,12,2,1,3,9959,2811
29.,62775,25,30,45,36982,10,54,79,1870,0,14,3,0,2,10268,2803
30.,62713,23,37,47,37031,9,58,82,1864,1,14,4,0,1,10552,2795
31.,62640,27,33,52,37096,4,64,84,1857,0,13,4,0,1,10876,2807
32.,62523,26,29,63,37204,6,62,87,1828,0,14,0,1,2,11178,2808
33.,62650,26,33,62,37066,10,58,95,1863,0,15,2,0,3,11449,2806
34.,62680,21,43,65,37028,7,61,95,1829,0,15,2,0,1,11722,2814
35.,62606,20,45,70,37089,7,66,97,1853,0,12,4,0,0,12025,2803
36.,62576,20,39,75,37111,7,72,100,1885,1,11,2,0,2,12346,2831
37.,62418,19,44,80,37258,8,64,109,1885,1,11,5,0,4,12611,2845
38.,62356,22,47,87,37305,10,63,110,1900,0,16,4,0,4,12911,2851
39.,62151,19,38,92,37498,12,71,119,1883,0,19,0,1,2,13246,2867
40.,62099,23,40,98,37534,11,69,126,1884,0,16,6,0,2,13545,2849
41.,61964,15,38,100,37664,14,61,144,1879,0,10,2,0,2,13841,2864
42.,61904,16,35,104,37715,15,61,150,1864,0,7,2,0,0,14104,2802
43.,61968,18,40,104,37640,13,57,160,1850,0,6,1,0,4,14387,2810
44.,62051,24,40,109,37542,10,58,166,1864,0,10,2,1,2,14725,2831
45.,61982,25,42,113,37596,12,64,166,1877,0,12,2,0,4,15059,2858
