# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '15' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-86-15.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '85' '-var' 'INIT_I' '10.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "52805861"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99990,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99207,3,8,0,779,0,3,0,245,14,3,0,0,161,9986,268
2.,97083,6,8,0,2900,0,3,0,473,4,4,0,0,119,19903,523
3.,93967,5,8,0,6015,1,4,0,703,0,3,1,0,98,29902,788
4.,90702,6,9,0,9276,1,6,0,862,1,5,2,0,60,39955,999
5.,87237,9,11,0,12735,0,8,0,1039,2,8,3,0,61,49870,1235
6.,83921,8,11,1,16048,2,9,0,1173,1,2,7,0,25,59943,1392
7.,80993,9,11,2,18972,2,9,2,1242,0,5,6,1,25,70023,1551
8.,78409,12,9,3,21553,2,10,2,1289,0,4,7,1,22,79879,1666
9.,76322,9,14,3,23637,2,11,2,1374,0,4,7,3,18,89654,1786
10.,74244,6,10,5,25711,3,19,2,1472,0,5,6,4,21,99549,1914
11.,72558,5,13,4,27395,3,17,5,1542,0,6,5,4,17,109379,1993
12.,71111,8,13,3,28840,0,18,7,1552,1,6,4,3,10,119233,2043
13.,69830,9,17,2,30117,0,14,11,1617,1,8,2,3,12,129197,2142
14.,68744,13,17,4,31197,0,12,13,1594,1,9,4,2,9,139004,2207
15.,68013,15,20,6,31922,1,11,12,1607,1,8,7,2,6,148803,2279
16.,67386,13,17,4,32546,3,16,15,1655,0,9,5,0,6,158566,2351
17.,66693,18,21,4,33230,2,17,15,1676,1,14,3,1,6,168402,2404
18.,65988,16,24,5,33930,1,20,16,1709,1,9,9,2,4,178169,2463
19.,65431,13,27,6,34480,2,25,16,1719,0,10,9,3,7,188018,2488
20.,64951,15,24,11,34953,1,28,17,1698,0,10,6,3,4,198165,2538
21.,64698,18,22,12,35199,1,33,17,1722,0,13,4,2,3,208165,2558
22.,64374,20,23,13,35515,2,30,23,1745,1,14,4,2,8,218042,2596
23.,64067,20,25,13,35813,5,29,28,1788,0,12,5,2,4,227840,2642
24.,63822,20,21,15,36053,3,35,31,1796,0,10,6,2,5,237773,2666
25.,63557,10,29,15,36313,5,35,36,1807,0,7,6,0,6,247565,2705
26.,63343,12,26,17,36519,10,37,36,1853,0,7,2,1,3,257498,2727
27.,63043,10,26,17,36810,15,37,42,1877,1,10,3,0,5,267406,2758
28.,62913,12,27,17,36933,12,41,45,1850,0,8,4,0,1,277150,2775
29.,62689,15,28,21,37150,8,41,48,1840,0,9,3,0,3,286977,2778
30.,62505,13,29,23,37329,6,39,56,1864,0,7,5,0,3,296827,2781
31.,62284,13,22,29,37546,6,44,56,1837,0,5,1,1,2,306567,2797
32.,62297,15,24,33,37524,8,39,60,1844,0,11,0,1,3,316187,2829
33.,62259,13,20,33,37559,9,44,63,1888,1,7,2,0,8,326155,2839
34.,62218,12,19,35,37598,8,38,72,1889,0,7,1,0,2,335975,2827
35.,62123,14,21,36,37684,9,39,74,1917,0,7,5,0,4,346012,2860
36.,61996,12,18,39,37808,8,42,77,1952,0,4,3,0,4,355770,2893
37.,61914,11,20,40,37886,7,40,82,1955,0,5,2,0,4,365529,2885
38.,61899,10,23,44,37898,6,36,84,1950,0,3,2,0,3,375563,2895
39.,61720,13,21,43,38070,7,38,88,1982,0,6,1,0,2,385350,2910
40.,61568,18,17,44,38215,7,39,92,1964,0,5,3,0,3,395318,2927
41.,61601,14,19,51,38175,7,41,92,1943,0,4,2,1,1,405090,2916
42.,61611,15,21,56,38160,5,37,95,1915,0,5,1,0,1,414781,2893
43.,61682,12,25,57,38087,4,37,96,1926,0,3,1,0,1,424601,2896
44.,61719,13,22,61,38046,3,37,99,1918,0,7,0,1,0,434314,2901
45.,61632,16,17,61,38124,7,37,106,1932,0,6,4,0,2,444107,2875
46.,61587,10,17,65,38166,5,40,110,1918,0,4,2,0,1,453940,2852
47.,61645,8,16,71,38107,4,39,110,1897,0,3,1,0,1,463658,2840
48.,61730,7,17,73,38019,5,37,112,1861,0,4,0,0,5,473373,2847
49.,61737,9,19,75,38006,4,36,114,1861,0,7,0,0,3,483196,2858
50.,61712,15,15,78,38021,5,37,117,1844,0,10,2,0,0,492814,2839
51.,61813,13,14,82,37917,5,37,119,1863,0,6,4,0,3,502611,2847
52.,61765,10,19,80,37962,5,35,124,1868,0,6,0,0,2,512367,2846
53.,61798,9,20,87,37926,4,33,123,1885,0,5,2,0,3,522068,2842
54.,61816,9,22,87,37902,4,34,126,1901,0,7,1,0,1,532005,2859
55.,61683,8,23,91,38029,8,28,130,1917,0,6,1,0,1,541765,2879
56.,61812,9,21,94,37897,7,32,128,1920,1,5,1,0,1,551585,2859
57.,61931,9,17,99,37774,5,34,131,1897,0,7,0,0,3,561405,2841
58.,61874,10,17,98,37824,2,38,137,1914,0,7,1,0,1,571199,2858
59.,61721,11,14,103,37972,2,37,140,1911,0,6,3,0,2,580992,2851
60.,61765,14,16,106,37919,3,36,141,1911,0,9,2,0,3,590832,2844
61.,61891,18,17,108,37784,2,40,140,1891,0,11,1,0,1,600475,2836
62.,61907,13,20,107,37765,4,37,147,1849,0,5,0,0,1,610235,2812
63.,61896,11,19,111,37773,5,39,146,1863,0,6,0,0,1,620016,2833
64.,61946,7,18,118,37722,5,37,147,1853,0,4,0,0,1,629678,2824
65.,61901,11,19,114,37758,4,39,154,1869,0,6,0,0,0,639337,2843
66.,61821,9,18,122,37835,2,41,152,1862,0,2,0,0,0,649135,2867
67.,61858,10,16,122,37796,2,39,157,1847,0,2,0,0,1,658927,2861
68.,61745,11,24,124,37903,0,29,164,1853,0,5,1,0,2,668668,2846
69.,61599,12,20,130,38041,3,32,163,1869,0,5,3,0,0,678429,2847
