# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '3' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-52-3.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '51' '-var' 'INIT_I' '100.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "923825300"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99622,30,94,0,239,0,15,0,288,1114,32,1,1,902,10025,450
2.,99009,54,104,0,812,0,21,0,496,1183,53,20,1,1926,19950,2902
3.,98427,76,104,0,1356,0,37,0,675,528,64,34,2,1415,29598,8410
4.,98181,90,129,3,1555,2,38,2,840,236,80,43,6,821,38673,14040
5.,97971,122,142,4,1707,2,50,2,984,130,92,60,14,556,47564,19705
6.,97742,137,160,7,1876,1,68,9,1135,90,107,80,22,290,56054,25205
7.,97524,159,184,12,2018,2,85,16,1265,73,123,93,33,239,63987,30675
8.,97354,188,191,25,2097,5,120,20,1361,53,144,104,43,178,71546,35824
9.,97076,209,211,34,2295,6,142,27,1426,44,162,111,51,163,78831,40652
10.,97052,230,226,46,2232,4,169,41,1474,24,156,123,62,142,85702,44832
11.,96860,252,286,64,2310,4,177,47,1509,38,174,108,58,121,92361,48669
12.,96682,263,315,79,2377,7,218,59,1548,47,167,97,63,101,98515,51965
13.,96345,303,341,105,2557,20,247,82,1602,37,189,99,61,87,104642,55014
14.,96173,331,392,131,2585,19,283,86,1648,36,173,65,58,101,110465,57780
15.,95938,389,417,179,2644,13,310,110,1683,32,187,63,45,68,116107,60285
16.,95636,422,477,222,2765,18,329,131,1717,34,175,57,33,72,121863,62585
17.,95449,481,531,254,2730,25,379,151,1744,34,188,49,39,54,127453,64706
18.,95130,552,607,306,2800,24,394,187,1732,34,181,49,28,53,132612,66575
19.,94728,603,691,364,2943,27,428,216,1779,48,166,37,19,51,138067,68407
20.,94420,650,805,432,2958,35,456,244,1819,41,178,40,22,35,143208,70161
21.,93867,737,877,523,3171,33,521,271,1853,42,161,31,26,34,148198,71853
22.,93456,816,961,606,3187,72,593,309,1860,32,156,47,21,43,152862,73260
23.,93017,901,1113,712,3233,48,638,338,1845,43,141,23,30,31,157785,74719
24.,92379,1011,1222,834,3392,74,708,380,1847,36,141,34,22,24,162667,76232
25.,91849,1137,1363,970,3408,76,771,426,1880,42,140,25,32,34,167091,77535
