# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '3' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-54-3.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '53' '-var' 'INIT_I' '100.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "498015352"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,98223,46,94,0,1623,0,14,0,239,116,43,10,0,131,9985,274
2.,95301,58,105,0,4508,0,28,0,433,67,59,22,1,98,19859,508
3.,91634,81,106,1,8127,4,47,0,626,27,81,35,2,62,29716,748
4.,87837,72,123,2,11886,17,60,3,799,20,80,47,5,54,39758,957
5.,84242,85,131,7,15435,19,76,5,959,18,89,48,13,32,49574,1150
6.,80780,88,139,8,18849,28,94,14,1067,11,82,60,16,46,59509,1323
7.,77640,90,130,16,21935,38,127,24,1191,6,76,57,16,18,69562,1502
8.,74907,97,132,18,24621,42,150,33,1297,3,69,44,19,14,79427,1658
9.,72383,79,145,22,27109,48,172,42,1361,4,55,30,23,18,89402,1773
10.,70217,84,142,28,29229,47,191,62,1440,3,53,26,10,11,99340,1897
11.,68585,82,135,38,30820,46,213,81,1506,5,55,18,7,7,109228,2031
12.,67153,80,140,47,32208,51,213,108,1562,1,45,17,4,12,119089,2103
13.,65856,86,131,50,33460,46,240,131,1555,2,53,11,2,6,128851,2160
14.,64811,80,133,64,34462,52,256,142,1606,4,43,14,1,4,138833,2228
15.,63808,73,136,67,35429,55,258,174,1624,2,25,8,2,3,148602,2252
16.,63166,74,134,84,36037,45,277,183,1648,1,32,2,0,6,158490,2300
17.,62620,66,137,97,36554,48,282,196,1705,0,33,0,1,5,168511,2359
18.,62021,71,130,108,37114,49,282,225,1755,2,32,5,0,3,178409,2400
19.,61642,64,143,116,37468,47,273,247,1786,3,17,3,1,4,188213,2448
20.,61098,58,150,137,37988,43,256,270,1770,1,19,3,0,1,198004,2474
21.,60749,60,152,151,38307,43,259,279,1811,1,14,4,1,6,207786,2501
22.,60299,60,150,164,38717,44,262,304,1848,1,22,6,1,4,217375,2547
23.,59998,62,143,169,38984,45,268,331,1880,0,23,2,1,3,227261,2587
24.,59860,63,141,190,39091,41,267,347,1866,0,16,4,2,2,237122,2636
25.,59730,64,135,202,39193,41,260,375,1851,0,20,3,0,0,246909,2677
26.,59637,60,130,218,39250,50,253,402,1857,0,22,1,0,5,256724,2697
27.,59635,65,121,227,39215,44,264,429,1796,1,23,2,2,4,266464,2672
28.,59703,67,135,238,39111,48,254,444,1834,2,17,2,0,2,276363,2665
29.,59560,72,139,243,39223,46,250,467,1841,3,12,2,0,0,286427,2696
30.,59496,72,143,264,39253,48,245,479,1848,0,20,1,0,3,296203,2704
31.,59394,71,148,278,39307,59,243,500,1828,0,19,3,1,2,305997,2716
32.,59319,67,153,296,39342,57,259,507,1848,0,18,1,1,0,315859,2743
33.,59256,82,147,314,39354,62,267,518,1838,0,26,0,0,6,325586,2741
34.,59044,74,156,323,39524,57,285,537,1836,4,15,0,1,5,335428,2787
35.,58904,82,156,333,39610,65,291,559,1853,0,18,2,1,0,345279,2823
36.,58722,68,154,340,39759,60,295,602,1833,0,10,3,0,0,355032,2831
37.,58640,68,157,364,39791,59,305,616,1821,1,15,1,0,2,364678,2835
38.,58416,66,160,387,39967,51,318,635,1829,0,13,3,1,2,374427,2835
39.,58336,65,158,390,40010,47,312,682,1830,1,14,0,2,3,384207,2839
40.,58271,65,160,410,40035,55,302,702,1809,0,18,0,2,2,394002,2826
41.,58212,69,154,424,40057,55,284,745,1821,0,16,2,0,0,403834,2809
42.,58227,68,160,435,40001,46,286,777,1807,1,20,0,0,0,413646,2798
43.,58196,59,164,455,39991,56,287,792,1808,1,12,4,0,2,423425,2776
44.,58215,66,156,471,39932,60,293,807,1797,0,21,0,1,2,433366,2819
45.,58031,65,153,511,40078,63,286,813,1824,0,13,0,0,1,443114,2841
46.,57888,62,157,519,40187,51,295,841,1833,0,14,2,0,1,452871,2843
47.,57862,60,152,529,40175,51,306,865,1832,0,9,1,0,1,462660,2833
48.,57799,58,158,553,40201,46,305,880,1841,0,18,1,0,2,472517,2845
49.,57747,66,159,571,40203,54,310,890,1832,0,14,0,2,2,482227,2840
50.,57693,70,152,597,40228,53,306,901,1813,0,6,0,0,0,492036,2817
51.,57745,73,157,615,40136,57,285,932,1857,1,9,0,0,1,501696,2847
52.,57590,80,150,645,40250,60,288,937,1868,0,8,0,0,0,511597,2844
53.,57576,77,160,660,40226,54,296,951,1855,0,11,1,0,0,521339,2857
54.,57285,66,165,667,40473,66,304,974,1872,1,8,0,0,4,531334,2847
55.,57291,73,179,683,40415,59,303,997,1860,0,13,0,0,3,541161,2863
56.,57261,66,178,688,40408,66,309,1024,1830,1,10,0,0,1,550972,2839
57.,57014,65,179,704,40616,59,316,1047,1831,1,12,0,0,0,560780,2868
58.,56875,73,180,714,40704,61,310,1083,1822,0,8,0,1,1,570493,2848
59.,56696,60,191,735,40842,63,305,1108,1858,0,9,0,0,0,580498,2858
