# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '2' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-12-2.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '11' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '0.5' '-var' 'm' '500.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "979944250"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,96988,359,883,0,1591,0,179,0,268,9222,331,152,7,268,474,474
2.,87752,583,864,3,10464,4,330,0,485,8760,539,325,39,492,943,942
3.,79157,683,964,15,18728,8,435,10,670,7011,656,513,64,545,1348,1348
4.,72840,763,1050,33,24715,17,553,29,823,6383,713,698,108,460,1768,1768
5.,66127,821,1132,61,31084,37,686,52,914,3631,762,899,177,248,2127,2127
6.,61131,869,1196,93,35744,50,838,79,1035,2397,825,1059,265,153,2399,2399
7.,57693,882,1272,147,38838,70,974,124,1156,1709,846,1168,353,98,2722,2722
8.,54758,861,1325,195,41447,113,1119,182,1267,1267,866,1204,421,56,3034,3034
9.,52604,836,1330,256,43279,127,1321,247,1318,1112,867,1156,495,43,3287,3284
10.,50813,850,1337,325,44743,119,1456,357,1381,976,902,1090,590,51,3528,3528
11.,49355,808,1297,403,45893,172,1615,457,1419,636,805,951,621,36,3750,3750
12.,48464,756,1215,473,46490,191,1829,582,1503,461,734,761,633,30,4013,4012
13.,47927,670,1194,526,46792,203,1944,744,1573,358,627,590,567,22,4196,4194
14.,47669,632,1129,605,46808,205,2065,887,1636,307,565,440,478,25,4383,4381
15.,47614,604,1138,673,46637,183,2110,1041,1671,295,543,388,377,25,4563,4563
16.,47401,585,1112,768,46634,182,2135,1183,1731,236,502,307,327,18,4731,4729
17.,47551,539,1077,870,46278,193,2154,1338,1740,214,475,247,290,17,4929,4929
18.,47630,535,1086,964,45973,181,2159,1472,1769,204,458,242,216,19,5046,5046
19.,47587,508,1066,1095,45799,192,2171,1582,1797,167,439,223,185,8,5199,5199
20.,47628,511,1043,1201,45509,218,2186,1704,1785,167,443,186,167,15,5305,5302
21.,47641,474,1084,1300,45286,199,2170,1846,1789,154,421,175,153,13,5372,5372
22.,47562,467,1049,1439,45151,197,2172,1963,1825,169,389,169,116,15,5471,5471
23.,47554,523,1064,1583,44895,187,2119,2075,1809,164,415,159,127,12,5560,5560
24.,47541,523,1056,1762,44679,193,2079,2167,1816,158,399,148,130,12,5665,5663
25.,47440,523,1070,1916,44557,194,2068,2232,1810,120,404,157,136,8,5795,5795
26.,47262,495,1061,2031,44509,214,2101,2327,1841,132,366,152,126,7,5873,5872
27.,47353,484,1068,2104,44193,205,2079,2514,1846,116,348,135,110,7,5964,5963
28.,47132,496,1047,2255,44174,221,2064,2611,1896,129,363,125,133,11,6064,6064
29.,47062,478,1063,2378,44027,204,2040,2748,1876,131,361,105,110,13,6079,6079
30.,46963,471,1079,2490,43887,206,2022,2882,1862,140,351,147,116,7,6155,6155
31.,46827,456,1100,2613,43808,191,2017,2988,1856,134,361,153,126,5,6252,6251
32.,46600,463,1103,2763,43807,201,2005,3058,1877,115,339,153,121,6,6269,6267
33.,46435,463,1075,2904,43741,216,2018,3148,1866,111,345,129,114,2,6331,6331
34.,46425,442,1090,2989,43529,221,2016,3288,1858,128,338,124,111,11,6375,6374
35.,46269,462,1074,3094,43455,215,2018,3413,1842,109,363,117,110,11,6400,6400
36.,46243,452,1067,3219,43282,221,2009,3507,1836,107,328,106,112,9,6424,6422
37.,46090,431,1087,3374,43226,212,1974,3606,1846,126,326,108,120,12,6453,6452
38.,45862,468,1096,3501,43221,189,1957,3706,1890,114,344,107,111,10,6479,6479
39.,45688,480,1100,3589,43166,180,1946,3851,1885,114,330,124,107,10,6504,6504
40.,45552,434,1098,3721,43097,206,1950,3942,1883,77,295,138,119,8,6530,6530
41.,45416,469,1082,3831,42997,199,1970,4036,1896,116,339,120,110,12,6569,6568
42.,45319,464,1073,3910,42885,195,1945,4209,1909,116,307,128,104,15,6596,6595
43.,45206,456,1076,4051,42779,186,1932,4314,1916,112,299,127,118,6,6681,6680
44.,45111,484,1049,4212,42629,198,1941,4376,1913,130,368,127,109,13,6742,6742
45.,45156,490,1049,4323,42360,206,1938,4478,1916,136,351,159,146,11,6729,6728
46.,45041,460,1046,4442,42255,206,1966,4584,1903,142,373,149,131,10,6728,6727
47.,45051,444,1029,4582,42047,193,2001,4653,1882,125,343,138,109,9,6756,6756
48.,44998,425,1045,4710,41902,187,1998,4735,1864,92,334,131,128,6,6821,6821
49.,44976,444,1045,4831,41708,187,1986,4823,1860,135,317,128,139,13,6842,6842
50.,44835,436,1040,4950,41644,185,1962,4948,1890,112,312,136,120,11,6858,6856
51.,44742,437,1045,5037,41534,174,1951,5080,1846,117,312,117,108,7,6873,6872
52.,44646,448,1033,5172,41416,172,1946,5167,1837,116,314,126,108,8,6878,6878
53.,44393,445,1050,5276,41439,185,1946,5266,1845,100,328,120,97,15,6931,6930
54.,44436,433,1020,5377,41210,178,1962,5384,1860,134,312,111,113,14,6963,6961
55.,44427,440,1014,5435,41012,166,1992,5514,1886,119,322,107,126,7,6935,6932
56.,44421,422,1019,5546,40829,181,1956,5626,1892,106,320,111,138,12,6982,6982
57.,44296,432,998,5652,40748,181,1957,5736,1862,113,332,109,116,12,6944,6944
58.,44336,398,995,5804,40532,177,1968,5790,1895,126,319,104,111,9,6897,6896
59.,44321,430,995,5907,40315,166,1966,5900,1916,130,349,127,105,6,6976,6976
60.,44372,423,1006,6020,40076,154,1957,5992,1938,110,342,136,120,5,6961,6958
61.,44227,446,982,6146,40029,156,1935,6079,1911,114,315,133,108,16,6989,6989
62.,44242,452,991,6292,39814,151,1935,6123,1926,118,303,151,135,15,6990,6989
63.,44152,466,977,6393,39686,161,1921,6244,1934,128,346,121,123,11,6930,6930
64.,44037,445,974,6569,39605,165,1938,6267,1933,118,351,124,117,12,6874,6874
