# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '21' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-84-21.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '83' '-var' 'INIT_I' '10.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "413000889"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99990,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99868,1,10,0,121,0,0,0,281,113,1,0,0,923,9930,297
2.,99743,2,11,0,244,0,0,0,483,205,2,1,0,3146,19817,556
3.,99214,5,10,0,769,0,2,0,668,213,6,0,0,4825,29876,2272
4.,98861,8,10,0,1118,0,3,0,829,154,8,1,0,4724,39417,6458
5.,98481,10,14,0,1491,0,4,0,999,152,12,3,0,5088,48766,10762
6.,98151,12,16,0,1815,0,5,1,1119,66,13,6,0,2912,57542,17483
7.,98137,10,18,0,1826,0,8,1,1246,63,12,4,1,2128,66025,22926
8.,98135,9,21,1,1824,0,6,4,1340,49,10,7,0,2008,74314,27799
9.,98038,11,19,2,1916,0,9,5,1405,41,8,7,0,1565,82174,32416
10.,98014,16,20,2,1932,0,10,6,1466,42,9,11,0,1355,89889,36427
11.,97765,22,20,3,2172,0,10,8,1529,33,11,11,1,1332,96946,40001
12.,97840,21,29,3,2088,2,9,8,1587,50,17,11,1,1245,104033,43284
13.,97719,19,26,5,2199,2,22,8,1653,30,17,12,4,923,110691,46162
14.,97722,18,29,8,2188,2,20,13,1700,30,16,14,7,996,117091,48766
15.,97677,24,31,9,2222,0,23,14,1728,35,23,15,7,749,123639,51126
16.,97581,28,42,9,2299,0,23,18,1747,33,30,18,8,673,129874,53196
17.,97577,34,33,16,2288,2,29,21,1759,14,28,26,8,581,135964,55121
18.,97512,31,41,20,2340,2,29,25,1800,21,28,25,12,518,142052,56714
19.,97452,37,50,27,2382,1,28,23,1821,37,32,30,12,536,148033,58110
20.,97607,40,55,32,2209,0,31,26,1781,27,35,31,13,503,154153,59252
21.,97526,59,58,38,2259,1,31,28,1771,25,43,35,15,466,159922,60017
22.,97537,58,65,42,2226,0,43,29,1776,31,46,39,16,390,165673,60726
23.,97391,72,70,48,2342,0,44,33,1804,26,54,44,18,376,171047,61404
24.,97358,68,81,55,2355,1,49,33,1830,36,55,46,20,340,176715,62030
25.,97341,84,86,61,2330,3,52,43,1872,31,59,61,20,342,182223,62619
26.,97299,96,96,73,2329,2,57,48,1874,27,67,63,23,278,187671,63208
27.,97208,110,95,90,2380,2,66,49,1874,19,63,78,25,285,193204,63763
28.,97115,108,112,99,2443,1,75,47,1873,27,58,71,34,251,198485,64358
29.,97093,104,132,112,2414,4,86,55,1880,27,84,62,37,223,203690,64644
30.,97061,119,142,121,2393,6,94,64,1906,33,87,80,36,214,208982,65087
31.,96937,139,152,136,2466,6,97,67,1905,35,90,79,33,205,214299,65611
32.,96824,154,172,156,2510,4,108,72,1902,35,109,82,36,163,219712,66086
33.,96763,174,192,180,2495,10,111,75,1912,46,109,87,36,163,225070,66519
34.,96607,200,206,208,2556,8,134,81,1919,25,126,98,42,182,230366,66826
35.,96508,212,229,231,2569,6,159,86,1924,32,135,86,46,104,235601,67242
36.,96405,236,255,261,2558,11,172,102,1953,23,151,93,48,104,240839,67756
37.,96226,258,297,290,2615,9,179,126,1932,25,170,85,38,101,245879,68211
38.,96078,277,330,325,2634,15,204,137,1930,26,167,73,42,94,251094,68851
39.,95860,323,366,353,2684,22,235,157,1946,28,189,69,40,90,255989,69367
40.,95735,334,408,402,2678,21,254,168,1960,27,173,62,31,78,260968,69891
41.,95425,382,462,451,2804,16,269,191,1944,30,171,58,29,62,266067,70407
42.,95193,431,522,508,2838,16,290,202,1926,36,193,65,31,66,270987,70994
43.,94940,481,535,568,2889,25,342,220,1955,41,165,61,40,56,275830,71519
44.,94692,553,579,644,2904,23,366,239,1943,27,192,39,27,64,280642,72246
45.,94392,598,635,733,2944,35,404,259,1931,27,155,35,22,52,285284,72792
46.,93915,635,750,804,3148,34,442,272,1929,33,157,35,28,56,290101,73469
47.,93658,712,830,897,3066,45,486,306,1978,35,168,41,30,44,294668,74349
48.,93224,812,908,1014,3136,48,518,340,1929,41,161,36,27,35,299293,75172
49.,92623,904,991,1124,3338,61,595,364,1971,45,132,28,26,20,303893,76151
50.,92160,1011,1084,1259,3365,60,661,400,1960,34,124,35,29,37,308527,76878
51.,91536,1060,1271,1410,3554,63,696,410,1988,27,122,35,37,39,313221,77930
52.,91137,1204,1345,1564,3424,74,794,458,1954,47,120,30,27,36,317590,78937
53.,90367,1267,1490,1723,3673,73,905,502,1947,49,127,20,20,25,322040,79895
54.,89746,1382,1661,1884,3702,92,966,567,1921,41,102,36,26,23,326261,80841
55.,89084,1540,1818,2076,3697,104,1050,631,1862,30,102,25,32,15,330369,81615
56.,88025,1706,2054,2258,3954,143,1161,699,1896,40,97,29,39,22,334337,82469
57.,87118,1806,2268,2550,4081,149,1278,750,1864,36,93,22,20,22,338528,83528
58.,86103,2006,2397,2849,4193,162,1464,826,1837,40,84,21,31,10,342452,84349
59.,85032,2185,2656,3159,4263,187,1600,918,1830,39,95,22,37,16,346272,85033
60.,83876,2387,2882,3460,4396,185,1788,1026,1797,39,82,23,31,7,350055,85992
61.,82717,2573,3152,3823,4422,239,1942,1132,1772,39,86,24,38,11,353767,86824
62.,81387,2814,3414,4184,4538,267,2140,1256,1789,39,64,22,23,5,357552,87674
63.,79885,2953,3717,4602,4817,266,2354,1406,1797,26,74,22,23,7,361376,88485
64.,78299,3217,4025,5037,5019,270,2562,1571,1820,37,59,14,39,7,364948,89221
65.,76809,3450,4298,5562,5059,313,2797,1712,1796,35,58,26,32,6,368547,90008
66.,75103,3637,4654,6073,5255,366,2993,1919,1811,45,44,31,35,4,372081,90548
67.,73402,3895,4963,6677,5386,368,3212,2097,1841,48,57,25,19,4,375829,91228
68.,71681,4065,5267,7282,5450,401,3491,2363,1836,28,46,21,29,8,379159,91719
69.,69899,4187,5592,7931,5510,459,3840,2582,1830,36,49,18,33,3,382466,92022
70.,68014,4390,5976,8614,5573,477,4098,2858,1814,31,47,16,25,8,385700,92446
71.,66186,4549,6317,9436,5603,492,4375,3042,1803,38,46,15,34,2,389219,92946
72.,64390,4670,6613,10203,5568,536,4625,3395,1810,35,41,19,32,5,392489,93262
73.,62491,4780,6886,11113,5584,519,4964,3663,1818,29,34,13,21,3,395942,93612
74.,60603,4799,7158,11930,5592,585,5218,4115,1839,29,39,18,27,3,399173,93659
75.,58591,4918,7430,12906,5646,558,5521,4430,1844,28,42,11,27,1,402560,93972
76.,56592,4980,7671,13939,5675,600,5792,4751,1840,15,37,16,16,5,405926,94263
77.,54889,5025,7872,15013,5451,591,6003,5156,1815,26,28,17,29,2,409270,94350
78.,53200,5001,8119,16128,5225,620,6148,5559,1794,30,26,17,13,1,412619,94524
79.,51382,5016,8202,17343,5168,598,6389,5902,1799,15,37,17,23,2,415672,94446
80.,49651,5010,8329,18530,5023,624,6578,6255,1820,21,38,13,17,4,418903,94488
81.,47836,4954,8429,19837,4984,652,6718,6590,1805,26,28,19,15,6,422302,94723
82.,46203,4903,8537,21101,4874,621,6867,6894,1822,14,29,19,18,3,425517,94755
83.,44782,4806,8422,22430,4543,594,7138,7285,1841,23,27,8,21,3,428510,94667
84.,43226,4674,8434,23692,4496,569,7248,7661,1823,24,24,16,25,2,431787,94793
