# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '23' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-42-23.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '41' '-var' 'INIT_I' '100.0' '-var' 'k_result' '0.5' '-var' 'm' '500.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "826241253"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99617,30,86,0,253,0,14,0,273,1081,24,3,0,346,492,269
2.,99389,63,85,0,438,0,25,0,500,1920,45,19,0,1159,964,517
3.,99184,80,94,0,605,0,36,1,697,2725,63,29,1,2538,1431,765
4.,96989,102,110,2,2752,3,40,2,839,2622,72,48,3,3321,1873,979
5.,91916,113,122,6,7781,7,53,2,993,1501,82,53,14,2388,2254,1202
6.,86052,126,161,10,13584,7,56,4,1088,305,95,75,18,562,2671,1383
7.,82676,125,166,19,16910,11,86,7,1188,214,93,89,26,427,3064,1566
8.,79518,139,174,28,20009,8,106,18,1259,151,112,91,42,343,3448,1710
9.,76706,149,197,38,22760,7,117,26,1295,155,124,103,53,239,3856,1840
10.,74232,153,202,57,25164,13,145,34,1403,121,132,119,60,227,4193,1975
11.,71772,168,225,65,27544,16,164,46,1476,87,147,138,71,136,4530,2080
12.,69795,167,231,73,29457,22,196,59,1521,89,127,152,76,135,4877,2206
13.,67913,163,249,87,31257,24,224,83,1581,63,142,141,75,112,5204,2321
14.,66219,175,245,108,32873,29,247,104,1596,56,149,129,85,79,5523,2433
15.,64890,171,258,125,34124,32,276,124,1632,58,155,130,82,82,5831,2544
16.,63625,151,254,152,35324,45,303,146,1661,40,143,128,78,76,6131,2613
17.,62703,161,248,179,36181,41,314,173,1704,45,140,126,81,76,6440,2703
18.,61933,160,230,198,36892,40,334,213,1753,32,125,127,74,61,6776,2812
19.,61452,159,235,224,37315,32,358,225,1721,28,123,112,73,56,7112,2872
20.,60931,162,227,231,37776,30,374,269,1736,23,135,79,66,50,7441,2959
