# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '17' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-2-17.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '1' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '0.5' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "979442891"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,98371,361,894,0,215,0,159,0,239,10807,358,169,8,349,9932,439
2.,86365,588,908,2,11841,10,285,1,470,7759,551,375,31,526,19853,813
3.,73374,654,974,7,24497,48,443,3,639,901,656,527,84,122,29819,1127
4.,67187,659,996,23,30372,115,636,12,809,330,638,557,135,78,39892,1364
5.,62544,583,947,35,34734,201,908,48,952,134,532,412,168,54,49788,1578
6.,59301,527,878,49,37720,260,1174,91,1034,111,423,230,168,31,59750,1732
7.,56807,455,884,88,39992,298,1329,147,1133,72,322,131,149,25,69556,1870
8.,54815,442,879,122,41772,291,1451,228,1217,65,256,80,117,14,79427,2011
9.,53329,420,897,166,43038,299,1538,313,1371,57,225,62,90,21,89319,2171
10.,51844,413,921,206,44315,293,1597,411,1453,48,207,53,65,14,99161,2312
11.,50627,401,904,278,45321,285,1678,506,1507,38,170,57,44,15,109039,2404
12.,49558,393,915,343,46179,273,1727,612,1565,37,178,40,30,21,118836,2492
13.,48663,353,915,406,46878,288,1789,708,1584,48,154,42,28,17,128798,2573
14.,47910,365,900,492,47412,263,1867,791,1602,32,190,34,32,10,138501,2653
15.,47193,329,920,571,47941,277,1858,911,1653,23,145,32,25,8,148491,2734
16.,46689,318,911,655,48261,263,1874,1029,1697,32,142,31,39,14,158405,2827
17.,46286,327,892,748,48480,263,1839,1165,1740,25,139,29,22,9,168385,2886
18.,46081,330,886,817,48494,271,1816,1305,1785,29,136,36,19,12,178308,2960
19.,45670,312,865,918,48731,254,1854,1396,1818,26,137,32,23,22,187995,2992
20.,45350,322,875,1014,48854,245,1835,1505,1834,30,138,31,22,14,197780,3041
21.,45298,306,883,1086,48721,235,1863,1608,1827,26,138,16,21,8,207511,3043
22.,45124,302,893,1147,48713,236,1867,1718,1831,21,136,17,15,11,217181,3103
23.,44924,327,882,1251,48718,240,1859,1799,1843,21,151,23,20,14,226923,3137
24.,44720,327,875,1341,48748,232,1851,1906,1910,26,134,27,17,13,236675,3212
25.,44616,302,854,1416,48692,249,1838,2033,1898,30,111,21,22,8,246252,3250
26.,44519,302,849,1497,48642,229,1831,2131,1903,22,116,27,32,10,256022,3285
27.,44646,308,828,1572,48351,225,1825,2245,1885,19,115,22,25,11,265723,3288
28.,44781,309,839,1654,48043,209,1823,2342,1873,21,127,29,16,7,275631,3357
29.,44679,326,850,1747,47967,211,1771,2449,1851,26,165,19,22,11,285409,3384
30.,44576,313,829,1843,47896,237,1779,2527,1854,24,135,28,28,11,295285,3412
31.,44566,305,812,1970,47754,244,1769,2580,1875,25,132,26,27,18,305257,3461
32.,44551,311,793,2061,47617,243,1756,2668,1890,24,115,23,18,9,314991,3493
33.,44591,292,817,2139,47411,242,1762,2746,1859,28,111,26,26,17,324827,3526
34.,44558,289,840,2195,47261,226,1761,2870,1865,23,133,27,14,9,334643,3536
35.,44553,297,814,2287,47104,198,1781,2966,1869,23,135,19,23,12,344389,3529
36.,44441,302,822,2370,47041,205,1753,3066,1864,23,118,21,23,16,354061,3529
37.,44360,296,822,2477,46960,209,1723,3153,1873,26,105,27,20,10,363700,3526
38.,44282,268,844,2581,46914,202,1698,3211,1863,28,96,28,27,13,373561,3518
39.,44094,279,819,2676,46971,185,1682,3294,1864,24,115,20,20,14,383302,3531
40.,44095,285,792,2766,46811,187,1714,3350,1873,12,115,31,19,11,393109,3547
41.,44116,285,800,2865,46627,195,1684,3428,1865,27,121,19,16,6,402863,3583
42.,44211,294,775,2971,46389,168,1695,3497,1853,17,128,24,23,6,412635,3606
43.,44333,280,773,3066,46132,177,1696,3543,1867,26,97,16,15,15,422356,3608
44.,44340,294,773,3125,45971,183,1677,3637,1815,23,125,17,16,8,432176,3589
45.,44380,267,783,3188,45774,207,1656,3745,1834,19,123,22,30,18,441901,3597
46.,44350,281,776,3256,45663,190,1658,3826,1899,11,112,25,15,17,451828,3620
47.,44386,262,765,3334,45492,190,1671,3900,1885,26,94,18,24,13,461310,3586
48.,44465,273,782,3400,45251,177,1664,3988,1863,21,118,21,15,15,471078,3578
49.,44414,257,790,3537,45163,173,1659,4007,1864,30,131,24,18,12,480955,3558
50.,44194,281,795,3609,45206,186,1635,4094,1835,31,134,26,18,16,490766,3573
51.,44049,275,774,3680,45200,195,1659,4168,1849,11,107,23,12,13,500384,3555
52.,43926,275,763,3761,45187,184,1657,4247,1854,18,122,18,14,11,510268,3549
53.,43855,270,767,3834,45097,188,1673,4316,1827,32,132,10,20,17,520091,3560
54.,43783,271,785,3892,45008,182,1664,4415,1847,25,141,23,23,10,529892,3601
55.,43690,269,763,3987,44941,173,1710,4467,1835,26,137,17,22,11,539595,3604
56.,43613,286,768,4009,44868,184,1668,4604,1833,31,122,19,21,11,549303,3590
57.,43603,278,752,4078,44726,201,1674,4688,1803,17,109,13,22,10,559148,3584
58.,43564,290,757,4110,44607,186,1678,4808,1829,22,126,19,22,13,568955,3584
59.,43414,289,781,4136,44604,179,1653,4944,1822,27,127,26,27,14,578621,3567
60.,43412,294,750,4224,44440,185,1667,5028,1821,30,136,29,23,12,588474,3607
61.,43441,278,754,4312,44279,176,1659,5101,1844,16,121,17,24,18,598441,3595
62.,43451,258,767,4358,44129,180,1655,5202,1839,19,109,18,15,11,608097,3541
63.,43477,268,739,4498,43958,168,1658,5234,1824,29,107,25,21,9,617796,3535
64.,43374,253,755,4607,43929,169,1618,5295,1852,23,113,20,15,15,627357,3563
65.,43326,255,739,4717,43835,175,1625,5328,1896,20,118,19,25,14,637068,3564
66.,43359,237,746,4827,43674,155,1627,5375,1878,24,139,19,20,11,646834,3575
67.,43199,259,721,4924,43690,167,1596,5444,1886,28,132,22,22,9,656538,3578
68.,43220,252,733,4955,43539,170,1596,5535,1880,19,114,16,22,17,666248,3579
69.,43108,236,767,5012,43526,172,1577,5602,1862,19,117,18,21,16,676070,3579
70.,43068,245,729,5108,43427,168,1603,5652,1882,27,104,26,18,10,685774,3604
71.,43098,264,757,5182,43239,174,1586,5700,1844,24,123,18,26,10,695358,3563
72.,43228,271,743,5224,42966,184,1583,5801,1845,21,118,14,22,10,705050,3537
73.,42994,265,751,5330,43053,184,1583,5840,1856,25,128,29,22,6,714710,3550
74.,42806,253,753,5414,43095,170,1603,5906,1857,19,122,23,29,11,724295,3530
75.,42684,257,761,5497,43077,177,1598,5949,1854,21,123,19,35,15,734046,3513
76.,42727,249,740,5566,42906,171,1594,6047,1864,24,113,22,27,14,743722,3552
77.,42537,271,737,5641,42921,183,1608,6102,1879,32,132,18,20,14,753524,3552
78.,42452,279,741,5696,42855,198,1600,6179,1865,22,119,26,30,7,763217,3570
79.,42318,275,737,5826,42835,183,1615,6211,1877,23,117,25,20,14,772877,3528
80.,42363,268,745,5896,42646,179,1627,6276,1873,28,130,20,21,11,782505,3512
81.,42122,264,759,5965,42732,169,1647,6342,1904,22,109,28,20,9,792160,3544
82.,41994,266,766,6072,42720,147,1648,6387,1892,21,122,18,28,16,801893,3547
83.,41882,265,739,6133,42681,151,1680,6469,1882,13,128,28,29,9,811419,3559
84.,41767,264,756,6174,42646,160,1669,6564,1905,12,145,32,18,15,820975,3576
85.,41577,242,743,6189,42708,173,1669,6699,1893,19,108,20,18,9,830768,3582
86.,41845,231,736,6244,42326,160,1653,6805,1889,22,93,23,22,19,840503,3573
87.,41756,243,714,6324,42291,135,1666,6871,1894,28,119,17,29,10,850254,3580
88.,41938,251,712,6416,41969,135,1640,6939,1905,10,134,22,20,14,859879,3586
89.,41936,229,701,6498,41848,142,1650,6996,1914,24,120,27,17,14,869474,3594
90.,41878,240,702,6586,41770,151,1610,7063,1927,36,121,23,17,7,879200,3606
91.,41879,236,727,6630,41638,148,1575,7167,1901,30,140,23,23,15,888945,3605
92.,41809,235,707,6686,41577,149,1570,7267,1897,24,124,25,21,10,898678,3573
93.,41739,239,703,6807,41514,154,1564,7280,1910,24,137,15,27,11,908347,3544
94.,41673,239,693,6884,41472,151,1556,7332,1910,24,119,17,28,9,918009,3523
95.,41622,231,719,6931,41405,137,1522,7433,1905,20,131,16,21,12,927756,3571
96.,41731,225,733,6972,41168,139,1526,7506,1924,16,115,27,19,23,937415,3569
97.,41654,240,732,7081,41118,138,1499,7538,1941,33,124,22,29,11,947198,3543
98.,41624,249,724,7189,41011,140,1501,7562,1950,25,132,22,20,16,956949,3545
