# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '13' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-71-13.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '70' '-var' 'INIT_I' '10.0' '-var' 'k_result' '0.5' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '0.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "211323239"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99990,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99414,6,9,0,569,0,2,0,269,1,6,0,0,8,10022,641
2.,98633,7,10,0,1347,1,2,0,496,1,6,2,0,8,19851,1719
3.,97795,8,10,0,2182,1,4,0,698,0,8,2,1,11,29798,3199
4.,96905,13,14,1,3063,1,3,0,889,1,12,3,1,6,39614,4950
5.,96225,16,13,3,3737,0,6,0,1000,0,12,6,1,1,49003,6792
6.,95595,23,14,3,4357,1,7,0,1148,0,13,9,2,11,58501,8756
7.,94911,22,16,3,5033,2,13,0,1261,2,13,10,4,5,67901,10977
8.,94418,22,21,4,5514,5,15,1,1312,0,16,10,4,6,77151,13117
9.,93886,20,29,4,6039,4,14,4,1346,0,10,12,3,2,86170,15249
10.,93568,25,26,6,6351,1,18,5,1411,0,11,6,4,12,94942,17346
11.,93144,29,30,6,6759,2,22,8,1490,1,20,6,5,6,103618,19464
12.,93048,31,29,9,6842,3,30,8,1510,0,18,9,2,6,112057,21262
13.,92736,29,41,11,7138,6,26,13,1572,1,21,7,2,3,120681,23232
14.,92444,33,42,18,7409,8,34,12,1609,0,25,10,2,4,128719,25123
15.,92246,39,38,22,7590,8,41,16,1632,0,20,5,4,4,136816,26842
16.,92027,45,43,26,7790,6,43,20,1666,0,16,13,4,5,144952,28510
17.,91904,51,43,31,7891,5,51,24,1684,2,17,10,3,2,152766,30056
18.,91778,51,45,40,8000,6,56,24,1747,2,18,3,1,5,160494,31522
19.,91645,47,51,49,8114,4,64,26,1755,1,19,2,0,4,168345,32992
20.,91578,50,59,52,8153,12,69,27,1781,0,18,4,0,2,175977,34303
21.,91256,49,61,58,8452,11,76,37,1780,2,19,3,0,8,183525,35679
22.,91241,65,60,62,8444,6,79,43,1790,1,25,2,0,3,190899,36841
23.,91087,64,63,70,8572,11,83,50,1794,1,27,2,1,4,198210,37939
24.,90894,66,70,77,8735,13,87,58,1810,0,27,3,0,4,205624,39041
25.,90732,69,78,90,8866,16,89,60,1845,2,22,6,1,2,212861,40164
26.,90627,81,79,104,8939,15,90,65,1812,0,21,5,0,3,220012,41229
27.,90548,93,92,112,8981,14,85,75,1830,0,22,6,1,0,226955,42092
28.,90261,85,97,133,9231,20,95,78,1839,1,16,6,3,4,233833,43078
29.,89914,94,109,147,9540,18,95,83,1854,0,20,5,0,2,240651,44251
30.,89853,91,110,169,9569,15,104,89,1860,0,21,0,0,3,247461,45215
31.,89745,98,117,191,9628,24,110,87,1830,0,29,2,1,6,254144,46095
32.,89829,111,112,216,9503,25,116,88,1821,0,22,2,1,6,260788,46775
33.,89607,112,124,225,9671,32,121,108,1836,3,20,3,0,5,267474,47647
34.,89412,125,131,239,9816,26,128,123,1876,1,18,4,0,6,274053,48419
35.,89358,132,160,257,9812,20,128,133,1855,1,28,1,1,3,280572,49085
36.,89251,146,165,279,9849,25,154,131,1847,0,28,4,1,3,287141,49819
37.,89287,154,181,307,9743,31,163,134,1816,2,30,3,0,7,293607,50356
38.,88978,179,201,325,9970,27,173,147,1830,1,24,3,1,4,300196,51217
39.,88726,197,216,347,10134,37,182,161,1836,3,23,2,1,5,306557,51888
40.,88425,194,255,372,10348,32,196,178,1849,4,25,6,0,7,312792,52696
41.,88166,192,265,409,10511,38,238,181,1884,2,31,7,3,2,319265,53581
42.,87922,206,292,445,10642,46,252,195,1866,2,29,2,3,6,325568,54415
43.,87767,243,300,485,10680,41,276,208,1874,1,32,0,4,6,331595,55145
44.,87525,253,343,517,10794,49,287,232,1801,1,43,4,3,4,337730,55950
45.,87194,262,373,551,10999,51,304,266,1843,3,27,3,3,5,343779,56876
46.,86948,294,417,597,11088,60,316,280,1867,1,38,2,2,2,349492,57680
47.,86596,325,468,639,11253,75,342,302,1851,3,32,0,0,5,355349,58706
48.,86262,356,503,703,11391,85,379,321,1844,5,33,0,6,5,361131,59658
49.,85670,394,556,757,11768,85,417,353,1880,2,29,3,4,1,366574,60762
50.,85358,441,588,842,11873,67,451,380,1941,5,38,5,3,5,372134,61724
51.,84918,485,642,915,12050,96,479,415,1921,4,42,5,1,3,377666,62803
52.,84480,534,667,1008,12259,86,524,442,1878,4,27,4,1,5,383289,64015
53.,84122,532,700,1097,12387,101,592,469,1869,7,32,4,7,2,388720,64959
54.,83836,579,748,1210,12394,106,612,515,1873,6,32,2,0,1,394119,65927
55.,83617,627,795,1308,12341,113,650,549,1911,2,34,1,1,0,399470,66741
56.,83208,705,835,1407,12445,118,680,602,1923,6,35,2,4,4,404700,67671
57.,82839,727,910,1527,12504,120,727,646,1883,3,33,4,5,1,409793,68415
58.,82170,784,976,1644,12790,141,795,700,1865,7,37,5,5,0,414839,69296
59.,81578,806,1063,1757,13010,153,871,762,1850,6,34,5,9,5,419728,70259
60.,81015,876,1132,1871,13192,153,907,854,1862,3,36,8,11,3,424852,71285
61.,80584,936,1205,2015,13214,180,955,911,1860,9,31,6,7,3,429752,72362
62.,79889,1000,1280,2198,13467,184,1010,972,1853,4,24,6,8,2,434540,73349
63.,79323,1048,1422,2374,13553,195,1066,1019,1851,8,20,5,10,3,439378,74256
64.,78475,1062,1547,2529,13908,198,1158,1123,1861,8,33,5,3,4,444225,75622
65.,77976,1128,1567,2735,13899,228,1234,1233,1831,13,24,3,9,3,448689,76586
66.,77405,1164,1676,2973,13932,241,1335,1274,1816,10,31,8,7,5,452953,77384
67.,77066,1259,1747,3193,13693,238,1450,1354,1816,9,24,5,9,5,457345,78202
68.,76360,1344,1787,3440,13808,248,1561,1452,1832,8,24,6,10,6,461948,78978
69.,75746,1393,1907,3687,13820,266,1608,1573,1831,9,30,10,9,3,465964,79598
70.,75109,1446,2046,3903,13845,237,1692,1722,1844,7,28,7,13,3,470218,80296
71.,74137,1561,2158,4169,14079,275,1824,1797,1868,5,24,10,7,0,474249,81046
72.,73386,1583,2325,4406,14112,306,1928,1954,1885,15,33,9,11,2,478521,81806
73.,72697,1699,2415,4717,14034,303,2030,2105,1912,16,32,7,10,2,482792,82596
74.,71877,1783,2518,5040,14080,323,2118,2261,1892,9,33,6,8,2,486924,83248
75.,71244,1834,2623,5405,13956,318,2227,2393,1887,11,29,11,8,3,491094,83749
76.,70449,1887,2794,5769,13921,337,2299,2544,1894,13,31,12,12,0,494987,84235
77.,69711,1919,2859,6139,13843,352,2495,2682,1842,4,31,6,6,4,498989,84734
78.,68879,2016,2961,6471,13805,360,2642,2866,1844,10,24,10,10,0,502646,85077
