# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '4' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-22-4.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '21' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "615900180"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,87981,342,956,1,10608,6,106,0,260,675,330,165,8,71,9884,430
2.,78587,440,919,5,19681,71,295,2,484,177,442,237,36,36,19778,793
3.,71945,446,831,11,26040,175,547,5,679,72,357,221,67,21,29900,1073
4.,67025,368,793,18,30748,263,757,28,850,42,224,76,65,14,39886,1291
5.,63229,329,768,24,34326,312,963,49,991,25,135,38,52,8,49902,1481
6.,59963,326,776,34,37390,306,1098,107,1138,20,85,25,38,7,59693,1684
7.,57312,344,768,57,39838,292,1209,180,1246,15,74,15,22,7,69721,1799
8.,55136,316,775,81,41833,293,1326,240,1327,12,52,6,8,2,79607,1928
9.,53365,312,797,104,43397,307,1410,308,1416,11,58,10,3,2,89534,2047
10.,51852,315,794,135,44706,301,1498,399,1492,12,43,6,2,3,99305,2165
11.,50532,308,838,169,45847,272,1533,501,1535,10,37,5,4,4,109015,2249
12.,49551,330,851,224,46629,276,1545,594,1586,2,37,1,3,3,118987,2351
13.,48551,311,853,283,47459,269,1585,689,1607,8,34,5,1,3,128741,2387
14.,47818,281,880,331,48017,279,1594,800,1651,9,25,3,1,3,138507,2448
15.,47332,285,844,396,48329,248,1670,896,1669,5,34,3,1,1,148405,2487
16.,46771,272,849,446,48699,263,1710,990,1711,4,28,1,2,0,158189,2551
17.,46526,259,839,493,48785,261,1705,1132,1744,5,15,1,4,2,168014,2606
18.,46233,273,829,557,48901,246,1698,1263,1750,1,33,4,4,4,177881,2630
