# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '3' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-4-3.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '3' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '0.5' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "93249650"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,98369,330,917,0,225,1,157,1,248,10841,348,171,11,361,9788,466
2.,84881,568,961,3,13302,7,277,1,488,4583,572,370,37,317,19387,15787
3.,80653,684,993,12,17183,41,427,7,684,812,636,536,85,134,27878,27481
4.,80151,732,1049,28,17300,107,614,19,847,281,681,534,133,74,35498,35357
5.,79795,677,1054,50,17289,230,858,47,1014,135,546,314,174,35,42872,42755
6.,80069,701,1114,70,16636,255,1058,97,1102,73,345,88,148,38,49622,49237
7.,79947,777,1234,114,16337,234,1211,146,1207,62,212,55,106,25,55990,54985
8.,79582,865,1367,162,16227,260,1309,228,1313,43,141,38,62,27,61720,60232
9.,79239,959,1505,267,16083,248,1421,278,1391,51,140,34,31,19,67080,65017
10.,78773,1037,1660,375,16027,268,1499,361,1472,19,148,32,29,19,72310,69300
11.,78377,1178,1797,495,15834,272,1589,458,1504,34,127,30,27,15,77120,72699
12.,78110,1278,1952,631,15451,292,1741,545,1556,33,117,22,32,14,81854,75685
13.,77756,1449,2098,787,15083,300,1875,652,1626,36,104,34,10,17,86302,78145
14.,77409,1599,2308,965,14648,332,1950,789,1666,29,91,23,27,13,90648,80260
15.,76735,1720,2533,1210,14487,365,2047,903,1660,37,92,22,33,3,94981,82137
16.,75998,1884,2681,1480,14369,354,2205,1029,1693,31,93,26,27,8,98963,83641
17.,75444,2086,2899,1739,13965,385,2330,1152,1711,39,92,25,27,10,103059,84919
18.,74621,2235,3134,2000,13812,399,2503,1296,1677,34,70,22,24,2,107087,86073
19.,73746,2400,3414,2344,13612,422,2631,1431,1702,31,87,22,34,8,110950,86960
20.,72505,2591,3661,2683,13685,428,2862,1585,1726,39,67,19,27,7,114802,87978
21.,71291,2743,3932,3072,13666,505,2999,1792,1721,35,74,28,21,3,118609,88777
22.,70209,2848,4241,3473,13456,569,3188,2016,1703,36,72,22,37,6,121937,89200
23.,68917,2978,4465,3962,13477,552,3422,2227,1723,43,67,38,31,8,125610,89952
24.,67513,3183,4675,4505,13477,600,3657,2390,1725,37,61,23,45,4,129340,90428
25.,66268,3309,4973,5022,13290,606,3911,2621,1757,31,61,22,31,2,132637,90939
26.,65006,3467,5158,5599,13097,625,4196,2852,1780,30,51,27,36,3,136138,91430
27.,63388,3607,5495,6138,13120,665,4470,3117,1800,25,50,18,12,6,139461,91798
28.,61960,3726,5740,6763,12977,696,4718,3420,1837,25,48,21,36,0,143114,92293
29.,60661,3852,5922,7435,12697,705,4995,3733,1828,30,50,22,28,5,146465,92556
30.,59408,3875,6157,8173,12359,747,5251,4030,1840,26,41,18,41,4,150097,92866
31.,57973,3927,6370,8969,12177,772,5433,4379,1831,15,32,18,20,1,153515,93007
32.,56552,3989,6580,9683,11962,784,5583,4867,1833,25,43,16,23,4,156812,93320
33.,55142,4019,6715,10503,11807,752,5848,5214,1824,32,44,20,24,5,160363,93491
34.,53745,4026,6854,11439,11582,778,6076,5500,1851,25,40,17,25,2,163616,93612
35.,52326,4029,7079,12365,11333,815,6215,5838,1809,19,46,23,21,1,166955,93597
36.,50811,4055,7084,13270,11230,793,6516,6241,1809,24,32,16,20,4,170145,93668
37.,49411,4061,7155,14215,11031,801,6671,6655,1844,16,30,17,18,2,173476,93925
38.,48177,3975,7265,15275,10747,800,6817,6944,1857,23,31,15,24,1,176514,94004
39.,46815,3877,7402,16195,10553,814,6887,7457,1846,27,48,17,28,2,180037,94173
40.,45833,3873,7423,17176,10033,764,6980,7918,1862,16,30,15,18,4,183523,94217
41.,44518,3806,7508,18270,9878,734,7053,8233,1890,19,32,12,20,2,186967,94231
42.,43358,3726,7429,19369,9608,766,7153,8591,1906,24,26,15,23,2,190362,94244
43.,42217,3708,7468,20315,9333,722,7146,9091,1917,17,26,15,23,1,193517,94119
44.,41258,3551,7418,21486,8975,707,7204,9401,1869,21,31,14,13,2,196938,94111
45.,40110,3451,7236,22511,8835,698,7289,9870,1902,17,24,8,16,1,200113,94010
46.,39161,3418,7093,23706,8491,660,7313,10158,1896,18,35,10,18,1,203323,94002
47.,38363,3339,6961,24822,8086,651,7177,10601,1902,9,24,10,15,3,206469,93825
48.,37348,3185,6800,26002,8013,636,7105,10911,1869,19,34,13,22,2,209747,93867
49.,36499,3167,6593,27191,7724,566,6994,11266,1850,17,19,14,7,1,212991,93832
50.,35763,3033,6469,28334,7404,562,6873,11562,1881,15,21,7,22,1,216181,93602
51.,34939,2889,6393,29393,7241,529,6731,11885,1883,15,29,10,9,0,219531,93408
52.,34139,2748,6205,30515,7076,505,6713,12099,1915,20,24,7,17,1,222703,93328
53.,33491,2644,6036,31486,6803,501,6569,12470,1918,11,24,6,12,4,226191,93340
54.,32861,2482,5947,32672,6542,504,6419,12573,1953,18,18,7,11,2,229559,93278
55.,32088,2432,5735,33860,6456,473,6276,12680,1976,15,14,11,6,1,232725,93135
56.,31520,2302,5577,34919,6250,423,6173,12836,1977,9,26,8,12,1,235949,92981
57.,30961,2174,5450,35766,6091,387,6020,13151,1957,16,17,7,12,4,239174,92711
58.,30573,2049,5205,36776,5801,385,5940,13271,1946,24,19,7,11,6,242523,92477
59.,30054,1984,5089,37888,5624,350,5716,13295,1958,15,27,6,9,2,246087,92358
60.,29470,1928,4869,38836,5543,339,5594,13421,1960,10,18,12,15,2,249323,92151
