# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '7' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-87-7.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '86' '-var' 'INIT_I' '10.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '0.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "450942163"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99990,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99606,3,9,0,381,0,1,0,256,11,2,1,0,132,10128,972
2.,99257,10,11,0,721,0,1,0,470,7,9,2,0,88,19935,3338
3.,99029,13,14,0,942,0,2,0,630,3,14,2,0,71,29580,6264
4.,98776,13,18,0,1188,0,5,0,808,1,17,2,0,65,39031,9790
5.,98500,17,20,0,1455,1,7,0,955,3,16,4,0,55,48362,13689
6.,98361,25,24,1,1580,0,7,2,1063,3,21,8,2,65,57333,17635
7.,98280,19,26,4,1656,0,12,3,1109,1,20,10,2,53,65968,21673
8.,98069,23,32,5,1857,0,9,5,1215,1,19,12,2,49,74382,25423
9.,97995,24,36,6,1919,0,15,5,1303,1,18,16,3,43,82522,28986
10.,97861,39,36,8,2031,0,21,4,1372,7,27,21,5,53,90476,32660
11.,97760,39,41,14,2115,2,22,7,1450,2,32,27,7,39,98107,35977
12.,97684,47,40,12,2170,0,35,12,1509,3,42,26,9,34,105404,39033
13.,97581,60,41,19,2249,0,39,11,1534,2,40,31,10,36,112752,42035
14.,97461,62,56,21,2348,0,36,16,1615,3,34,41,7,45,119781,44593
15.,97379,58,68,24,2406,2,43,20,1623,5,40,24,14,37,126456,46817
16.,97315,65,76,33,2439,5,48,19,1676,1,48,29,15,43,132881,48949
17.,97237,76,91,39,2478,3,54,22,1696,2,54,31,12,39,139301,50913
18.,97126,86,96,52,2551,2,62,25,1745,9,64,31,9,31,145550,52812
19.,96968,104,102,58,2654,2,78,34,1799,2,76,28,14,43,151729,54451
20.,96847,114,120,65,2723,7,86,38,1833,5,77,33,15,37,157759,56103
21.,96768,122,126,81,2759,4,101,39,1850,6,57,32,20,41,163568,57353
22.,96665,131,138,93,2813,2,109,49,1848,9,59,28,12,35,169489,58705
23.,96554,143,140,111,2867,3,128,54,1862,2,65,21,7,35,175145,59856
24.,96477,159,172,123,2866,7,134,62,1865,9,76,23,3,33,180755,60722
25.,96389,179,172,151,2888,3,151,67,1896,3,59,24,1,23,186496,61607
26.,96188,176,211,172,3016,6,146,85,1946,7,67,17,6,33,192168,62503
27.,96111,195,230,207,3006,12,150,89,1932,10,79,15,6,27,197784,63424
28.,95933,225,268,227,3079,13,148,107,1923,5,81,16,6,29,203251,64173
29.,95739,263,283,256,3154,15,172,118,1919,11,80,25,5,22,208648,64878
30.,95605,288,316,288,3170,15,191,127,1919,7,76,22,13,30,214192,65802
31.,95401,308,367,325,3235,17,212,135,1939,10,84,15,2,32,219796,66677
32.,95305,331,392,364,3208,20,226,154,1886,11,70,20,4,30,225036,67335
33.,95095,378,437,403,3241,20,255,171,1892,12,96,18,8,28,230320,67873
34.,94883,416,463,453,3281,27,293,184,1907,9,78,16,5,31,235674,68441
35.,94456,465,555,502,3475,40,307,200,1911,19,91,19,12,22,240888,69350
36.,94325,559,620,560,3352,30,331,223,1881,14,96,18,16,25,245951,69992
37.,93943,618,679,626,3447,36,406,245,1871,19,85,20,9,13,250945,70878
38.,93540,715,764,682,3542,38,439,280,1911,15,79,14,12,16,255832,71894
39.,93135,748,854,788,3642,49,486,298,1917,11,68,8,11,15,260627,72783
40.,92629,825,954,876,3785,50,526,355,1936,23,75,9,9,16,265525,73803
41.,92082,919,1079,1009,3911,66,580,354,1897,16,74,17,16,9,270319,74743
42.,91579,1001,1208,1137,3943,65,682,385,1852,17,95,19,19,14,274873,75780
43.,90858,1138,1343,1284,4132,83,741,421,1855,21,65,20,17,15,279443,76786
44.,90252,1266,1474,1426,4174,94,821,493,1820,22,61,20,19,11,283877,77645
45.,89511,1442,1636,1601,4247,93,922,548,1832,26,83,23,16,10,288119,78613
46.,88568,1628,1792,1794,4453,114,1041,610,1865,21,72,22,18,6,292204,79596
47.,87570,1803,2003,2035,4664,115,1170,640,1895,28,84,18,27,16,296348,80863
48.,86546,1891,2252,2240,4920,153,1256,742,1898,25,58,18,27,12,300556,82058
49.,85593,2068,2484,2540,4970,148,1402,795,1864,28,44,18,21,10,304631,83162
50.,84502,2227,2718,2852,5104,168,1533,896,1883,31,58,26,22,10,308845,84257
51.,83420,2380,2918,3150,5201,181,1709,1041,1882,32,60,18,23,9,312687,85179
52.,82176,2554,3124,3491,5359,224,1946,1126,1887,27,68,21,27,7,316483,86125
53.,80922,2713,3407,3892,5465,240,2105,1256,1893,20,52,18,23,11,320250,86883
54.,79478,2968,3709,4313,5609,251,2315,1357,1884,29,63,24,25,2,324064,87604
55.,78096,3091,3906,4788,5765,256,2577,1521,1897,16,48,22,21,9,327731,88203
56.,76662,3292,4160,5301,5815,305,2781,1684,1876,28,46,22,17,6,331279,88827
57.,75207,3424,4434,5875,5925,349,2932,1854,1898,29,49,20,20,5,334803,89360
58.,73696,3560,4757,6406,5951,358,3190,2082,1876,31,42,19,12,6,338304,89791
59.,72023,3702,5094,7001,6104,368,3384,2324,1859,22,43,21,26,7,341994,90360
60.,70541,3835,5337,7676,6058,356,3658,2539,1883,25,38,13,31,5,345326,90708
61.,68736,4064,5607,8406,6142,434,3876,2735,1863,19,44,18,22,6,348971,91107
62.,66959,4182,5901,9087,6250,446,4140,3035,1825,29,26,16,24,3,352489,91524
63.,65312,4289,6257,9890,6156,469,4305,3322,1809,15,37,11,25,0,356138,91860
64.,63475,4431,6456,10656,6193,497,4637,3655,1822,29,22,18,20,6,359622,92152
65.,61713,4535,6740,11519,6147,517,4917,3912,1807,32,29,16,18,1,362704,92231
66.,59793,4678,6965,12429,6225,554,5195,4161,1803,26,43,16,17,7,366012,92519
67.,57946,4741,7200,13325,6241,564,5424,4559,1812,20,22,16,22,3,369354,92699
68.,56296,4763,7389,14306,6073,571,5722,4880,1798,17,32,18,25,2,372651,92821
69.,54492,4821,7585,15417,6013,563,5941,5168,1822,23,34,13,18,2,376046,92981
70.,52865,4833,7714,16442,5834,583,6140,5589,1860,20,37,11,15,4,379391,93007
71.,50907,4857,7798,17549,5957,603,6370,5959,1851,28,25,16,16,2,382958,93247
72.,49363,4753,7984,18713,5781,614,6475,6317,1872,14,28,10,19,2,386280,93330
73.,47982,4755,7999,19901,5449,576,6640,6698,1861,18,23,11,10,1,389585,93376
74.,46473,4613,8074,21143,5335,571,6765,7026,1858,25,28,8,14,5,392735,93318
75.,44739,4509,8004,22449,5430,555,6965,7349,1900,21,22,12,20,3,396119,93505
76.,43466,4479,7986,23643,5108,533,7038,7747,1896,7,26,8,15,2,399531,93494
77.,42059,4408,8041,24748,4978,482,7019,8265,1892,30,23,8,9,1,402821,93415
78.,40721,4196,7922,26153,4891,497,7060,8560,1879,17,24,18,22,1,406170,93418
79.,39651,3954,7993,27493,4602,484,7020,8803,1847,14,19,8,20,1,409620,93428
80.,38390,3936,7755,28860,4525,447,6982,9105,1899,11,19,9,12,2,412794,93272
81.,37215,3799,7612,30283,4417,430,6925,9319,1883,13,17,5,16,6,415984,93017
82.,36184,3670,7465,31535,4225,403,6857,9661,1869,14,14,9,14,1,419521,93014
83.,35082,3533,7253,32945,4142,389,6761,9895,1896,11,15,9,15,2,422755,92948
84.,34171,3309,7082,34372,3980,352,6688,10046,1928,12,21,5,19,2,426143,92771
85.,33267,3154,6816,35719,3883,305,6584,10272,1933,17,17,10,10,2,429455,92672
86.,32492,2950,6547,37048,3707,314,6527,10415,1901,12,21,5,9,1,432541,92366
87.,31880,2824,6304,38422,3410,283,6363,10514,1891,9,18,3,15,1,435988,92103
88.,31123,2650,5990,39731,3302,282,6195,10727,1889,12,16,9,9,2,439277,91975
89.,30392,2541,5728,40999,3244,261,5982,10853,1888,20,13,8,10,2,442626,91551
90.,29793,2435,5394,42351,3103,235,5775,10914,1945,10,8,5,7,2,446012,91333
91.,29283,2314,5158,43752,2923,224,5533,10813,1908,12,21,6,13,2,449470,91090
92.,28737,2164,4881,44806,2830,205,5383,10994,1912,12,12,1,9,3,452964,90792
93.,28145,2054,4714,45995,2804,161,5157,10970,1923,11,22,5,6,0,456379,90537
94.,27602,1923,4511,47052,2746,169,5005,10992,1949,9,6,8,9,3,459923,90459
95.,27232,1806,4263,48141,2587,159,4838,10974,1952,11,14,7,9,4,463478,90026
96.,26787,1664,4097,49381,2533,142,4614,10782,1978,13,10,3,8,3,467162,89713
97.,26414,1573,3861,50348,2464,110,4471,10759,1983,13,11,2,10,0,470781,89405
98.,25943,1432,3734,51281,2494,114,4221,10781,1997,8,9,4,14,3,474516,89061
99.,25696,1357,3468,52370,2329,130,4093,10557,2021,4,11,4,10,2,477927,88763
100.,25311,1281,3265,53334,2323,100,3915,10471,2033,7,15,4,9,1,481488,88367
101.,25064,1198,3142,54224,2221,94,3702,10355,2039,4,9,4,7,2,485271,88034
102.,24759,1112,2942,55193,2192,77,3547,10178,2026,7,11,3,6,3,488799,87495
103.,24529,1021,2731,56105,2142,56,3435,9981,2019,7,15,1,7,2,492401,87160
104.,24319,932,2570,56975,2085,54,3256,9809,1999,7,7,0,6,3,496237,86827
105.,24193,842,2397,57753,1976,58,3075,9706,1998,7,9,1,3,2,499958,86386
106.,23996,832,2200,58633,1918,52,2890,9479,1997,6,11,1,7,4,503835,85765
107.,23793,781,2054,59351,1897,60,2734,9330,2011,6,13,3,1,3,507575,85259
108.,23609,750,1898,60152,1884,42,2588,9077,2028,6,12,0,4,2,511493,84658
109.,23458,692,1800,60870,1841,39,2425,8875,1976,7,10,2,8,2,515274,83978
110.,23333,638,1669,61617,1793,35,2288,8627,1964,9,6,0,4,2,519442,83372
111.,23226,581,1563,62180,1747,30,2192,8481,2015,1,8,6,5,6,523569,82807
112.,23044,567,1480,62680,1750,31,2076,8372,2026,5,10,2,2,7,527815,82368
113.,22933,515,1414,63185,1720,34,1925,8274,2041,5,9,2,6,6,532077,81996
114.,22817,478,1296,63846,1717,27,1820,7999,2046,4,9,1,1,4,536018,81487
115.,22700,451,1205,64322,1719,18,1706,7879,2099,5,15,3,0,5,540292,80877
