# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '2' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-48-2.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '47' '-var' 'INIT_I' '100.0' '-var' 'k_result' '0.5' '-var' 'm' '500.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "236904993"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,98351,36,79,0,1506,0,28,0,240,27,38,4,1,7,485,483
2.,96913,55,83,1,2909,1,38,0,469,11,54,14,3,2,937,934
3.,95560,62,91,2,4233,5,47,0,667,5,51,28,2,3,1351,1349
4.,94362,67,91,3,5397,11,69,0,829,1,58,28,3,1,1744,1743
5.,93097,63,92,5,6633,21,87,2,970,3,50,24,4,2,2102,2102
6.,92049,63,92,10,7646,25,109,6,1080,1,46,21,6,1,2460,2459
7.,90946,62,99,14,8710,39,119,11,1195,4,47,11,7,0,2800,2800
8.,90038,74,108,16,9566,36,144,18,1270,0,46,11,5,2,3072,3071
9.,89082,76,121,20,10478,32,161,30,1364,2,36,3,5,0,3324,3322
10.,88100,86,133,23,11406,38,176,38,1409,5,35,2,5,2,3597,3596
11.,87095,81,131,33,12369,47,195,49,1464,3,24,3,3,0,3802,3801
12.,86091,82,132,42,13323,49,215,66,1529,1,24,1,2,0,4005,4005
13.,85207,95,152,49,14147,52,221,77,1566,0,38,0,3,0,4166,4166
14.,84127,102,162,62,15158,61,236,92,1634,0,28,1,2,0,4366,4364
15.,83153,103,174,68,16070,55,269,108,1660,2,25,3,1,0,4590,4590
16.,82237,111,170,78,16914,63,295,132,1686,0,12,2,1,0,4779,4775
17.,81456,113,185,94,17635,68,294,155,1670,3,19,1,1,0,4932,4932
18.,80687,106,204,110,18329,75,308,181,1690,2,18,1,1,1,5054,5051
19.,79762,114,202,125,19186,81,311,219,1679,0,21,0,2,2,5169,5168
20.,78997,115,206,134,19880,84,328,256,1757,1,13,1,0,0,5256,5256
21.,78255,112,224,157,20550,89,343,270,1738,1,11,1,0,1,5422,5422
22.,77540,117,228,184,21183,96,364,288,1754,1,15,4,1,0,5553,5553
