# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '10' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-50-10.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '49' '-var' 'INIT_I' '100.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "875043361"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99733,38,97,0,122,0,10,0,240,1091,37,5,0,738,10013,275
2.,97698,57,101,0,2117,1,26,0,470,1254,62,13,0,1675,20049,547
3.,92093,79,106,1,7674,4,43,0,690,259,72,39,1,822,29923,818
4.,87406,98,117,5,12311,5,56,2,866,160,88,55,5,599,39900,1044
5.,83059,108,123,12,16616,8,63,11,1030,119,92,67,11,405,49834,1265
6.,79206,112,141,14,20415,14,82,16,1153,98,104,75,15,296,59750,1434
7.,75505,106,149,21,24078,16,104,21,1312,68,100,88,16,230,69604,1627
8.,72370,105,130,24,27178,20,143,30,1409,41,76,97,21,168,79308,1790
9.,69925,97,134,31,29593,18,162,40,1509,21,77,96,30,139,89086,1956
10.,67674,93,161,32,31802,17,163,58,1512,35,78,98,33,137,98976,2089
11.,65954,105,150,43,33473,22,191,62,1572,26,79,90,37,123,108738,2224
12.,64514,105,165,49,34868,25,194,80,1566,25,81,93,35,122,118499,2287
13.,63183,96,168,62,36149,25,217,100,1624,23,81,90,30,100,128110,2386
14.,61880,95,163,74,37409,30,235,114,1681,22,92,72,36,94,137981,2507
15.,60842,102,171,80,38393,35,242,135,1722,24,99,69,36,92,147638,2603
16.,59927,110,166,88,39254,38,246,171,1718,20,91,70,36,59,157489,2689
17.,59125,108,175,99,40013,41,243,196,1758,19,83,78,32,64,167303,2736
18.,58480,117,183,105,40609,27,253,226,1766,21,87,87,31,64,176907,2797
19.,57890,112,177,123,41154,22,276,246,1804,18,98,75,33,72,186474,2856
20.,57398,122,181,131,41589,29,270,280,1805,18,106,68,31,55,196411,2880
21.,56934,106,182,151,42015,32,291,289,1820,24,83,71,37,82,206092,2917
