# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '7' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-13-7.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '12' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '0.5' '-var' 'm' '500.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '0.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "430389181"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,88428,309,866,0,10175,14,208,0,250,113,319,114,5,3,460,0
2.,81390,365,708,1,16883,158,493,2,472,39,310,88,11,1,981,0
3.,76758,295,646,3,21300,243,747,8,659,14,134,26,15,1,1502,0
4.,73180,299,636,8,24662,270,914,31,808,12,74,8,16,0,2030,0
5.,70187,297,644,25,27459,288,1034,66,931,7,52,3,16,1,2518,0
6.,67744,315,661,45,29696,293,1142,104,1060,7,40,5,12,0,2980,0
7.,65395,305,701,70,31848,285,1233,163,1177,12,33,3,2,0,3438,0
8.,63210,323,734,109,33811,294,1303,216,1255,9,41,6,4,3,3945,0
9.,61413,316,746,158,35386,313,1373,295,1376,5,36,0,2,0,4407,0
10.,59628,305,773,193,36970,307,1449,375,1428,3,31,4,3,1,4918,0
11.,58269,329,769,242,38130,288,1519,454,1469,5,24,2,2,0,5420,0
12.,57110,334,768,282,39105,270,1585,546,1521,3,28,1,3,0,5947,0
13.,56005,319,827,328,40004,282,1601,634,1582,3,31,4,3,0,6432,0
14.,54861,315,834,370,40941,293,1648,738,1637,3,23,4,4,0,6964,0
15.,53944,302,834,417,41665,310,1691,837,1700,5,17,1,1,0,7421,0
16.,53060,312,849,474,42330,300,1706,969,1707,2,12,2,3,0,7940,0
17.,52232,307,871,512,42984,297,1724,1073,1729,0,14,3,1,0,8431,0
18.,51565,304,876,568,43468,278,1760,1181,1773,3,8,2,1,0,8939,0
19.,51024,311,883,617,43793,280,1767,1325,1749,3,11,1,1,0,9393,0
20.,50470,306,880,686,44155,305,1770,1428,1783,1,9,4,2,0,9893,0
21.,49843,297,930,739,44543,318,1781,1549,1796,0,11,2,2,0,10369,0
22.,49309,305,932,801,44878,307,1811,1657,1838,3,15,0,4,0,10871,0
23.,48760,302,915,868,45225,305,1847,1778,1879,0,8,0,1,0,11382,0
24.,48396,283,941,929,45398,290,1854,1909,1872,0,7,2,0,0,11854,0
25.,48013,281,954,990,45584,278,1858,2042,1908,0,13,1,1,0,12372,0
26.,47566,273,944,1062,45847,269,1885,2154,1924,4,13,2,1,0,12874,0
27.,47037,275,921,1133,46169,290,1894,2281,1924,1,15,2,1,0,13408,0
28.,46897,277,900,1204,46128,282,1896,2416,1923,0,12,1,1,0,13889,0
29.,46694,272,894,1280,46141,278,1896,2545,1948,1,10,2,1,0,14393,0
30.,46549,256,903,1338,46105,269,1908,2672,1937,0,11,3,0,0,14931,0
31.,46314,276,898,1403,46146,259,1883,2821,1902,1,10,1,3,0,15399,0
32.,46102,295,888,1456,46170,259,1854,2976,1890,1,9,2,0,0,15913,0
33.,45974,275,877,1525,46126,272,1843,3108,1904,0,7,2,1,0,16429,0
34.,45941,259,872,1579,45983,274,1860,3232,1881,2,7,1,0,0,16895,0
35.,45725,266,883,1632,46015,282,1838,3359,1861,1,6,1,1,0,17410,0
36.,45561,259,873,1700,46006,289,1822,3490,1873,1,1,0,1,0,17898,0
37.,45531,280,860,1781,45869,270,1816,3593,1882,0,9,2,2,0,18417,0
38.,45436,272,854,1852,45777,267,1815,3727,1840,1,8,1,1,0,18897,0
39.,45234,275,857,1937,45795,285,1778,3839,1838,0,8,0,0,0,19397,0
40.,45102,304,843,1979,45735,288,1790,3959,1847,2,3,0,2,0,19870,0
41.,45018,309,862,2033,45658,256,1790,4074,1837,2,7,0,0,0,20373,0
42.,44828,297,848,2099,45687,264,1792,4185,1848,2,9,0,0,0,20901,0
