# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '6' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-24-6.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '23' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "884437229"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,95363,359,967,0,3207,3,101,0,272,878,368,177,2,101,9769,9720
2.,92731,538,961,5,5454,54,256,1,480,184,523,295,38,53,18597,18579
3.,91378,626,1001,9,6422,124,433,7,695,105,460,235,62,36,26980,26963
4.,90288,748,1054,28,7108,139,606,29,869,52,301,98,70,20,34974,34959
5.,89533,923,1226,58,7384,129,685,62,977,55,228,45,67,16,42203,42191
6.,88997,1013,1390,98,7404,174,817,107,1069,41,171,37,45,8,49236,49217
7.,88413,1171,1576,170,7390,177,947,156,1170,39,132,36,32,17,55451,55436
8.,87977,1363,1729,253,7192,181,1098,207,1262,41,117,24,28,9,61227,61214
9.,87443,1512,1946,362,7030,199,1256,252,1401,36,116,21,27,8,66662,66640
10.,87251,1682,2206,481,6428,186,1445,321,1434,34,86,29,20,13,71593,71562
11.,87251,1953,2463,649,5504,191,1575,414,1524,23,87,18,32,6,76210,76159
12.,86747,2195,2834,864,4981,183,1698,498,1583,27,106,23,29,9,80636,80289
13.,85553,2473,3236,1082,4976,218,1850,612,1641,32,83,33,22,9,84893,83246
14.,84148,2739,3483,1384,5174,250,2129,693,1627,38,87,23,27,8,88860,85280
15.,82611,3175,3863,1690,5282,254,2297,828,1657,44,84,37,21,6,92732,86918
16.,80866,3409,4276,2087,5528,314,2538,982,1684,41,61,25,24,3,96703,88360
17.,79041,3646,4730,2516,5770,383,2772,1142,1697,39,69,20,24,5,100277,89499
18.,77260,3909,5169,3010,5858,405,3092,1297,1704,42,57,22,34,6,103922,90356
19.,75202,4236,5593,3527,6066,459,3385,1532,1728,46,59,25,35,5,107452,91105
20.,73014,4509,6001,4110,6316,501,3791,1758,1773,35,53,22,38,3,110958,91662
21.,70924,4785,6516,4767,6353,502,4155,1998,1754,37,63,17,34,6,114400,92146
22.,68498,5018,6973,5470,6636,572,4576,2257,1778,34,42,28,35,5,117859,92699
23.,66319,5217,7401,6214,6633,653,5015,2548,1789,49,63,24,23,3,121288,93159
24.,64049,5346,7835,7003,6750,671,5470,2876,1828,33,60,25,30,5,124815,93501
25.,61939,5532,8340,7901,6588,719,5701,3280,1801,32,43,26,31,3,128183,93828
26.,59536,5634,8730,8863,6765,744,6079,3649,1815,27,38,21,24,6,131363,94117
27.,57443,5706,9065,9862,6596,770,6474,4084,1790,23,24,19,23,0,134686,94421
28.,55135,5860,9361,10998,6551,776,6834,4485,1795,31,51,15,14,2,138096,94592
29.,53065,5907,9570,12210,6348,787,7173,4940,1829,29,35,27,21,1,141450,94764
30.,50932,5915,9760,13474,6257,833,7501,5328,1836,31,42,21,23,1,144741,94855
31.,48817,5793,9976,14750,6201,828,7777,5858,1884,32,36,12,17,2,148016,94918
32.,46828,5816,10047,16139,6035,737,8131,6267,1909,24,34,13,25,4,151332,94847
33.,45166,5597,10107,17507,5756,810,8273,6784,1932,20,21,10,16,2,154522,95023
34.,43414,5407,10224,18979,5520,778,8437,7241,1932,18,29,11,23,2,157758,95073
35.,41545,5336,10278,20313,5403,717,8605,7803,1908,9,26,18,18,1,160847,95117
36.,39934,5150,10153,21841,5179,733,8785,8225,1936,16,20,18,14,1,163973,95033
37.,38417,5003,10094,23296,4948,666,8847,8729,1921,18,32,18,12,1,167289,95123
38.,36932,4802,9983,24880,4778,673,8831,9121,1906,18,28,14,15,0,170732,94994
39.,35591,4655,9789,26469,4485,609,8860,9542,1907,15,22,10,17,2,173917,95035
40.,34322,4394,9660,28012,4280,600,8818,9914,1935,14,22,9,24,1,177111,94936
41.,33105,4247,9372,29520,4101,536,8792,10327,1948,11,27,15,16,2,180275,94865
42.,32058,4093,8997,31176,3787,527,8675,10687,1957,18,26,10,17,2,183705,94737
43.,30885,3967,8842,32535,3689,458,8499,11125,1946,17,13,9,19,1,186861,94562
44.,29771,3706,8569,34156,3634,411,8437,11316,1964,15,25,8,8,0,190042,94442
45.,28946,3393,8313,35675,3368,441,8277,11587,1965,15,10,7,5,1,193470,94361
