# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '7' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-56-7.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '55' '-var' 'INIT_I' '100.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "389944539"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99900,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99355,36,96,0,506,0,7,0,238,200,31,6,2,171,9947,1754
2.,98984,54,101,0,843,2,15,1,463,69,44,15,3,141,19650,5073
3.,98589,80,116,1,1190,0,22,2,675,37,63,30,3,133,29222,9216
4.,98255,107,134,4,1462,2,34,2,844,37,86,47,8,122,38492,14071
5.,97953,122,153,8,1710,1,48,5,962,37,90,61,17,87,47315,19187
6.,97799,128,177,15,1801,4,67,9,1090,28,101,80,17,87,55849,24286
7.,97561,159,172,22,1966,2,103,15,1214,26,112,84,19,74,64102,29257
8.,97258,173,203,32,2184,10,122,18,1319,22,120,78,28,69,71878,33933
9.,97137,208,231,43,2199,6,147,29,1364,25,144,75,33,69,79261,38380
10.,96961,230,259,62,2274,7,166,41,1418,20,153,56,40,76,86307,42581
11.,96837,263,292,81,2288,14,167,58,1476,25,136,55,40,60,92937,46252
12.,96570,295,321,107,2441,11,174,81,1482,23,138,51,32,58,99632,49550
13.,96329,339,361,136,2519,16,212,88,1528,31,146,43,29,51,106116,52739
14.,96142,373,380,163,2566,19,243,114,1549,17,139,45,28,46,112374,55549
15.,95862,389,443,202,2681,15,290,118,1632,26,147,35,21,42,118374,58367
16.,95650,414,518,235,2706,21,315,141,1641,35,143,35,19,44,124035,60839
17.,95434,473,566,286,2688,26,371,156,1650,22,158,40,16,42,129723,63032
18.,95068,517,633,343,2824,33,395,187,1662,20,140,30,17,31,135017,64975
19.,94623,604,710,383,2990,39,432,219,1717,23,133,26,20,34,140352,66892
20.,94331,650,760,467,3013,40,496,243,1726,18,123,30,21,24,145310,68665
21.,93910,738,865,555,3088,43,534,267,1764,24,132,20,17,22,150495,70508
22.,93330,828,963,653,3270,66,579,311,1781,22,120,20,16,24,155478,72088
23.,92789,938,1066,756,3402,62,635,352,1791,33,122,15,19,23,160290,73688
24.,92270,1079,1186,873,3468,61,672,391,1815,19,120,31,24,14,164732,75042
25.,91638,1157,1343,993,3614,85,748,422,1782,40,103,20,25,22,169448,76496
26.,91022,1266,1474,1151,3672,91,850,474,1804,23,93,18,21,17,173802,77833
27.,90248,1424,1626,1343,3803,84,944,528,1828,32,91,25,26,16,178008,78994
28.,89523,1529,1859,1525,3849,100,1022,593,1812,28,104,25,16,18,182231,80378
29.,88425,1713,2044,1740,4156,130,1148,644,1807,47,98,36,31,25,186446,81647
30.,87410,1811,2291,1987,4391,134,1249,727,1821,34,91,22,31,12,190569,82836
31.,86443,2014,2427,2252,4429,182,1451,802,1818,47,75,28,35,9,194659,84012
32.,85336,2256,2672,2515,4518,194,1619,890,1822,45,76,21,36,10,198574,85075
33.,84130,2487,2895,2846,4636,213,1819,974,1826,33,76,22,34,14,202582,85957
34.,82941,2701,3188,3169,4698,215,1969,1119,1843,33,76,16,25,13,206497,86906
35.,81459,2906,3476,3548,4967,238,2138,1268,1828,27,41,13,30,5,210106,87639
36.,79964,3028,3805,4023,5198,269,2353,1360,1861,31,59,23,31,9,213808,88667
37.,78421,3263,4144,4438,5343,296,2523,1572,1875,29,53,31,38,9,217513,89425
38.,76957,3540,4417,4973,5338,316,2726,1733,1861,31,60,26,28,7,221245,90068
39.,75369,3717,4722,5514,5399,380,2953,1946,1875,38,60,21,28,5,224847,90721
40.,73427,3955,5167,6103,5682,368,3177,2121,1883,30,60,28,29,5,228097,91246
41.,71455,4224,5524,6729,5867,410,3433,2358,1905,39,53,35,31,0,231247,91743
42.,69753,4376,5894,7399,5777,455,3763,2583,1897,34,51,13,33,7,234636,92269
43.,67899,4523,6237,8097,5771,514,4130,2829,1842,32,52,17,26,6,238118,92799
44.,65833,4730,6566,8917,5885,547,4460,3062,1839,36,38,22,27,6,241402,93069
45.,64002,4883,6881,9742,5807,563,4763,3359,1859,32,44,24,23,4,244487,93370
46.,61932,4959,7270,10631,5942,565,4997,3704,1880,21,54,18,25,9,248000,93755
47.,60009,4977,7520,11631,5875,588,5398,4002,1864,33,42,22,20,5,251294,94000
48.,57900,5092,7784,12618,5950,636,5635,4385,1851,27,40,14,25,7,254577,94239
49.,56121,5169,7912,13705,5765,645,5951,4732,1841,35,40,11,21,3,257702,94436
50.,54375,5158,8166,14777,5643,586,6151,5144,1859,23,30,19,18,5,260905,94423
51.,52418,5151,8288,15919,5605,681,6469,5469,1887,16,40,9,22,2,264129,94596
52.,50628,5215,8414,17041,5456,622,6749,5875,1863,23,30,10,30,1,267441,94730
53.,48698,5150,8645,18326,5460,678,6856,6187,1879,32,42,12,23,1,270663,94772
