# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '20' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-70-20.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '69' '-var' 'INIT_I' '10.0' '-var' 'k_result' '0.5' '-var' 'm' '10000.0' '-var' 'thetaD' '1.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "273512778"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99990,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99336,3,10,0,650,0,1,0,246,6,2,2,0,13,10056,264
2.,98267,7,10,0,1713,0,3,0,448,1,5,3,0,7,20020,504
3.,96943,10,8,0,3034,0,5,0,661,0,5,6,0,5,29839,736
4.,95449,8,9,0,4528,0,5,1,845,0,4,6,0,10,39711,962
5.,94072,6,10,0,5903,0,8,1,986,0,1,7,0,9,49503,1138
6.,92528,7,12,0,7442,0,10,1,1137,0,5,6,1,3,59440,1334
7.,91023,9,11,0,8944,0,11,2,1241,0,6,2,2,3,69341,1487
8.,89594,11,16,0,10364,0,11,4,1301,2,11,5,2,9,79302,1608
9.,88347,11,17,1,11605,2,10,7,1346,1,11,9,2,3,89137,1708
10.,87016,14,21,1,12928,1,12,7,1428,0,12,9,4,2,99024,1832
11.,85819,19,21,1,14115,2,15,8,1471,0,14,9,5,3,108985,1982
12.,84848,18,18,3,15079,4,17,13,1526,1,8,9,4,0,118754,2075
13.,83924,20,17,4,16000,2,19,14,1584,0,6,6,5,2,128563,2195
14.,83103,19,25,7,16809,2,21,14,1612,0,13,5,4,0,138592,2282
15.,82285,12,28,8,17621,5,22,19,1651,1,7,5,2,1,148400,2353
16.,81475,12,22,10,18425,9,28,19,1673,1,8,3,1,1,158130,2389
17.,80851,16,21,12,19044,6,29,21,1690,0,11,2,1,3,167956,2448
18.,80180,13,23,15,19708,7,31,23,1709,0,13,2,3,0,177832,2499
19.,79543,12,26,18,20336,7,34,24,1728,0,16,2,1,3,187673,2573
20.,78866,20,29,18,21001,7,29,30,1780,1,17,3,1,2,197393,2630
21.,78268,16,24,23,21594,5,36,34,1790,1,9,5,2,2,207184,2693
22.,77852,18,23,26,21998,8,40,35,1788,0,10,4,2,1,216933,2715
23.,77460,17,19,27,22384,8,43,42,1836,0,11,4,1,0,226775,2796
24.,77148,19,19,27,22691,3,50,43,1806,0,11,2,1,2,236504,2796
25.,76976,15,20,29,22860,4,47,49,1818,0,9,3,0,0,246395,2816
26.,76739,17,22,32,23089,5,39,57,1828,0,13,0,0,2,256209,2861
27.,76495,16,23,36,23327,4,40,59,1795,0,13,1,0,1,265976,2870
28.,76304,24,26,41,23498,9,35,63,1811,0,17,2,0,2,275812,2884
29.,76192,22,22,46,23603,14,40,61,1818,0,10,5,1,0,285552,2922
30.,75996,19,19,53,23790,15,44,64,1813,0,7,1,1,0,295485,2938
31.,75768,20,24,53,24009,9,48,69,1833,0,9,2,0,0,305298,2954
32.,75609,17,26,54,24163,6,54,71,1821,0,9,2,0,1,315089,2969
33.,75415,16,28,54,24350,7,52,78,1826,0,7,2,1,1,324946,2993
34.,75169,17,25,58,24589,8,54,80,1858,0,9,0,0,1,334711,3041
35.,74933,11,27,62,24821,10,52,84,1856,0,7,0,0,0,344491,3027
36.,74723,12,27,70,25022,10,50,86,1850,0,8,3,0,1,354281,3024
37.,74533,9,25,72,25204,12,52,93,1862,0,4,2,0,2,364056,3070
38.,74435,19,25,76,25286,8,53,98,1865,0,10,3,0,1,373873,3056
39.,74223,14,28,77,25490,7,55,106,1869,0,10,2,0,0,383618,3059
40.,73969,17,31,79,25729,12,53,110,1870,0,12,1,0,1,393448,3086
41.,73842,15,25,85,25852,10,59,112,1867,0,8,1,0,1,403202,3099
42.,73734,17,26,89,25954,7,59,114,1864,0,10,0,0,1,413094,3074
43.,73735,17,32,94,25946,3,58,115,1837,0,10,3,1,1,422911,3089
44.,73627,15,31,93,26047,5,57,125,1838,0,9,1,0,2,432852,3055
45.,73462,16,36,99,26201,3,58,125,1825,0,14,3,0,1,442673,3065
46.,73294,7,39,103,26362,8,57,130,1819,0,9,2,0,3,452699,3091
47.,73168,11,34,111,26476,12,57,131,1801,0,9,2,1,0,462504,3126
48.,73047,15,29,119,26584,9,59,138,1817,0,7,3,1,0,472439,3147
49.,72887,12,28,119,26740,8,60,146,1800,0,4,1,0,0,482272,3150
50.,72982,15,25,123,26636,8,62,149,1771,0,6,1,0,1,492182,3134
51.,72905,17,21,128,26705,8,63,153,1791,0,9,0,0,2,501936,3128
52.,72743,16,22,130,26861,6,68,154,1841,0,8,2,0,0,511663,3129
53.,72712,13,22,140,26886,7,66,154,1832,0,5,0,0,1,521527,3097
54.,72659,12,20,143,26933,6,68,159,1839,0,4,2,0,0,531182,3090
55.,72628,17,21,152,26954,5,60,163,1842,0,9,1,0,2,540848,3072
56.,72534,19,21,154,27039,7,61,165,1864,1,8,2,0,2,550702,3078
57.,72513,17,20,157,27055,5,64,169,1860,0,4,0,0,1,560459,3080
58.,72477,15,27,160,27084,6,59,172,1864,0,6,1,0,0,570100,3084
59.,72388,18,28,165,27163,8,51,179,1857,0,7,1,0,1,579887,3101
60.,72353,20,29,168,27189,8,49,184,1836,0,9,0,1,1,589785,3102
61.,72234,14,33,176,27298,10,52,183,1894,0,7,0,0,1,599489,3136
62.,72087,10,30,183,27440,11,50,189,1915,0,3,1,0,0,609221,3143
63.,71900,10,29,183,27621,11,49,197,1953,1,6,0,0,0,618831,3154
64.,71848,13,33,185,27659,9,53,200,1950,0,12,3,0,0,628653,3164
65.,71777,16,28,189,27717,13,57,203,1946,0,9,2,0,0,638474,3136
66.,71677,18,33,190,27807,9,56,210,1925,0,7,1,0,1,648352,3126
67.,71507,18,28,196,27970,8,59,214,1898,0,2,2,0,1,658194,3109
68.,71509,22,33,195,27956,7,56,222,1903,1,7,0,0,1,667984,3095
69.,71418,22,34,201,28040,7,52,226,1879,0,6,0,0,1,677818,3096
70.,71343,18,40,209,28108,4,56,222,1924,1,8,0,0,0,687587,3120
71.,71176,19,39,215,28260,9,57,225,1953,0,11,1,0,0,697377,3125
72.,71076,19,41,214,28344,17,56,233,1955,0,11,0,0,0,707060,3137
73.,70924,21,43,220,28480,20,58,234,1920,0,14,1,0,1,716811,3146
74.,70728,21,42,221,28667,14,72,235,1937,1,7,0,0,1,726405,3153
75.,70660,24,44,228,28721,16,71,236,1929,1,8,3,0,1,735997,3155
76.,70548,32,48,239,28812,17,66,238,1946,0,13,0,0,0,745760,3175
77.,70405,28,47,246,28940,19,72,243,1960,0,10,0,0,0,755656,3173
78.,70267,37,46,251,29059,16,74,250,1989,0,12,2,0,0,765357,3168
79.,70061,35,50,260,29248,19,73,254,2001,1,11,0,0,2,775239,3171
80.,69899,28,53,264,29396,20,79,261,1985,0,3,1,0,2,785061,3172
81.,69757,30,58,268,29518,17,81,271,1981,0,10,0,1,0,794623,3145
82.,69548,33,59,272,29709,14,87,278,1949,0,9,1,1,0,804440,3125
83.,69297,31,55,275,29939,20,96,287,1914,0,4,0,0,0,814324,3083
84.,69254,32,46,285,29972,20,97,294,1929,0,5,1,0,0,824311,3100
85.,69094,28,50,287,30117,22,98,304,1931,0,8,0,0,0,834122,3091
86.,68939,24,53,294,30256,24,99,311,1879,1,5,0,0,0,843783,3056
87.,68841,29,48,294,30330,25,103,330,1910,0,11,0,0,0,853626,3073
88.,68787,37,56,297,30368,21,96,338,1902,1,8,0,0,0,863430,3098
89.,68631,35,63,303,30507,20,96,345,1880,0,8,0,0,0,873330,3070
90.,68583,31,59,307,30539,19,109,353,1852,0,6,0,0,0,883136,3050
