# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '22' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-67-22.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '66' '-var' 'INIT_I' '10.0' '-var' 'k_result' '0.5' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '0.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "897107149"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99990,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,99776,2,8,0,211,0,3,0,243,89,2,1,0,354,10009,233
2.,99567,9,9,0,412,0,3,0,476,170,8,2,0,1114,19959,521
3.,99400,14,10,0,571,0,5,0,662,274,12,5,0,2487,29872,786
4.,99267,15,14,0,700,0,4,0,831,365,13,5,1,4560,39867,1033
5.,99024,16,14,0,937,0,9,0,939,464,13,5,2,6926,49767,1429
6.,98398,19,13,0,1557,0,13,0,1059,514,14,6,1,8931,59760,2428
7.,96425,20,21,0,3521,1,12,0,1204,517,12,9,3,9303,69391,5312
8.,94802,20,24,0,5134,1,17,2,1291,520,13,9,3,9285,78741,8807
9.,92998,25,31,2,6924,0,17,3,1401,495,14,14,3,8770,87968,13112
10.,91794,36,36,6,8105,0,21,2,1454,485,22,24,4,8241,96923,17327
11.,91073,36,39,10,8813,2,25,2,1500,506,29,25,4,7623,105420,21478
12.,89939,42,37,13,9931,1,29,8,1549,432,33,28,5,6330,113667,26150
13.,89937,51,46,17,9910,2,26,11,1564,386,43,34,9,5555,121719,29928
14.,89842,56,51,23,9982,2,30,14,1616,379,45,41,11,5195,129476,33257
15.,89641,53,58,28,10162,4,40,14,1619,385,51,46,11,4422,137073,36510
16.,89496,62,60,32,10285,1,45,19,1683,304,46,50,15,3638,144362,39740
17.,89388,64,60,41,10368,4,53,22,1722,286,48,55,16,3247,151371,42539
18.,89502,61,60,50,10237,4,61,25,1736,197,45,53,22,2862,158397,44907
19.,89523,59,68,59,10194,5,65,27,1734,216,49,46,29,2230,165028,47283
20.,89549,71,80,71,10130,5,64,30,1729,226,59,51,27,2009,171591,49280
21.,89699,81,88,79,9947,3,70,33,1776,179,66,58,27,1747,178007,51131
22.,89799,82,96,81,9814,6,79,43,1779,198,64,62,36,1592,183978,52590
23.,89840,92,100,96,9733,6,88,45,1815,221,82,60,44,1465,190096,53902
24.,89912,96,108,102,9626,6,96,54,1829,216,80,70,46,1358,196073,55055
25.,89980,110,131,114,9505,5,98,57,1810,234,103,69,47,1381,202201,56259
26.,89922,126,151,137,9504,6,102,52,1818,254,111,86,49,1278,208024,57282
27.,89773,141,159,150,9596,5,107,69,1840,264,112,108,51,1334,213898,58333
28.,89657,158,165,165,9652,9,115,79,1852,278,125,123,62,1096,219644,59293
29.,89591,157,180,187,9662,13,116,94,1842,259,129,115,75,1069,225227,60100
30.,89484,169,206,213,9689,15,131,93,1806,288,154,122,77,1055,230869,60875
31.,89643,203,227,239,9441,12,141,94,1770,310,159,156,79,939,236406,61643
32.,89582,209,252,263,9424,12,149,109,1743,264,157,173,79,888,242228,62234
33.,89581,236,274,294,9307,16,171,121,1737,291,178,191,87,723,247677,62622
34.,89347,269,282,323,9441,13,195,130,1774,257,199,195,98,698,253128,63187
35.,89135,276,333,365,9508,25,218,140,1827,289,253,210,112,676,258648,63854
36.,88815,296,361,389,9692,26,254,167,1815,299,266,242,144,549,264004,64596
37.,88391,319,394,431,9979,20,288,178,1850,243,282,247,158,530,269420,65472
38.,88052,329,426,491,10177,23,304,198,1866,229,302,263,173,463,274813,66343
39.,87862,357,457,539,10200,26,337,222,1883,280,306,263,184,403,279952,67071
40.,87482,381,502,577,10404,35,368,251,1884,260,331,275,195,385,285187,67966
41.,87185,430,522,669,10498,36,406,254,1885,246,364,290,187,341,290189,68821
42.,87138,488,565,735,10318,44,436,276,1841,224,371,313,199,312,295260,69343
43.,86771,513,628,815,10462,37,499,275,1869,222,398,304,211,318,300449,70030
44.,86538,548,666,882,10449,51,531,335,1855,254,431,281,226,275,305255,70662
45.,86084,597,715,945,10628,58,595,378,1869,241,439,320,210,243,310245,71406
46.,85614,594,793,1057,10850,67,630,395,1860,229,434,312,198,208,315085,72093
47.,85177,684,844,1133,10972,66,676,448,1844,216,455,297,193,211,319847,72791
48.,84752,723,895,1194,11069,78,753,536,1864,225,441,286,198,180,324519,73643
49.,84324,773,945,1333,11140,103,803,579,1865,186,487,276,207,188,328988,74295
