# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '16' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-2-16.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '1' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '0.5' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.0' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "399024481"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,98176,336,897,0,433,1,157,0,244,10589,325,164,4,350,10020,441
2.,82434,524,951,2,15810,7,270,2,482,3440,517,330,34,281,20195,795
3.,72929,638,999,12,24968,30,414,10,687,745,626,486,68,96,30036,1083
4.,66966,657,1010,30,30626,89,596,26,850,337,639,558,106,84,40045,1346
5.,62269,563,987,57,35040,197,835,52,1008,194,531,486,152,41,50025,1579
6.,58717,482,938,76,38344,259,1095,89,1111,98,411,262,163,38,59729,1729
7.,56286,461,908,108,40530,270,1293,144,1219,81,351,152,148,27,69651,1910
8.,54371,387,904,136,42248,302,1426,226,1300,56,256,92,133,20,79712,2052
9.,52776,361,921,160,43653,293,1539,297,1367,31,204,54,81,12,89410,2146
10.,51568,339,888,220,44695,275,1631,384,1394,45,170,37,68,20,99292,2265
11.,50394,352,873,253,45660,262,1701,505,1459,36,171,42,41,15,109075,2392
12.,49514,369,887,321,46322,277,1712,598,1508,46,187,50,28,8,118811,2448
13.,48725,344,904,375,46931,267,1748,706,1566,32,153,32,29,7,128598,2563
14.,48005,344,915,457,47448,282,1757,792,1590,40,168,27,36,16,138338,2635
15.,47455,346,952,522,47791,267,1766,901,1629,33,155,34,28,7,148159,2688
16.,46973,360,928,605,48055,282,1819,978,1637,23,158,21,35,14,157968,2754
17.,46549,353,916,667,48271,276,1884,1084,1637,30,144,22,24,15,167899,2819
18.,46005,333,938,758,48643,267,1875,1181,1673,27,144,25,32,10,177772,2871
19.,45775,324,939,848,48677,264,1867,1306,1682,30,151,34,21,17,187563,2909
20.,45485,335,938,909,48779,249,1862,1443,1710,33,156,26,19,14,197497,2960
21.,45091,329,925,962,48999,247,1866,1581,1749,29,143,22,26,6,207366,3026
22.,45081,326,947,1044,48849,229,1843,1681,1800,30,124,19,26,8,217093,3074
23.,44838,317,936,1119,48920,240,1845,1785,1843,26,127,27,22,15,226851,3119
24.,44772,315,957,1222,48807,221,1833,1873,1796,20,116,23,16,8,236645,3159
25.,44604,318,922,1319,48783,226,1846,1982,1831,21,142,24,21,5,246289,3227
26.,44540,313,873,1406,48678,231,1866,2093,1876,18,130,17,26,8,256138,3277
27.,44644,292,875,1490,48411,245,1854,2189,1874,28,119,20,24,6,266130,3347
28.,44694,289,888,1567,48181,242,1837,2302,1905,26,127,30,22,12,276019,3381
29.,44659,298,867,1679,48039,254,1828,2376,1913,24,115,19,23,9,285738,3407
30.,44677,316,835,1757,47841,246,1837,2491,1909,35,133,27,16,9,295481,3452
31.,44678,323,845,1833,47668,234,1830,2589,1899,20,127,26,16,6,305176,3462
32.,44612,304,842,1921,47589,218,1822,2692,1913,23,108,19,23,14,315083,3488
33.,44571,306,840,2057,47468,214,1811,2733,1908,35,116,21,20,6,324956,3500
34.,44358,292,845,2141,47533,204,1798,2829,1905,25,107,19,19,12,334723,3505
35.,44170,285,834,2208,47550,215,1806,2932,1882,20,118,23,14,14,344553,3514
36.,44186,285,838,2311,47369,200,1788,3023,1885,22,129,22,18,6,354506,3519
37.,44152,278,845,2398,47255,194,1761,3117,1861,33,138,21,21,10,364402,3472
38.,44039,280,822,2483,47222,196,1742,3216,1834,30,126,25,20,4,374160,3462
39.,44051,274,773,2613,47042,215,1766,3266,1865,22,129,22,22,7,383911,3479
40.,44195,262,785,2752,46770,201,1717,3318,1889,29,106,21,21,12,393402,3459
41.,44263,285,790,2865,46523,200,1700,3374,1869,18,127,29,21,16,403102,3480
42.,44358,283,776,2951,46283,195,1703,3451,1912,28,118,14,19,10,412761,3516
43.,44263,273,784,3063,46234,196,1679,3508,1893,27,137,20,21,16,422456,3535
44.,44204,259,807,3118,46151,193,1645,3623,1921,24,145,19,19,8,432366,3516
45.,44149,252,785,3171,46053,210,1653,3727,1909,21,127,36,15,8,442154,3562
46.,44128,244,768,3250,45953,189,1665,3803,1885,22,107,29,20,13,451839,3564
47.,44223,276,745,3282,45698,177,1662,3937,1863,28,134,17,14,8,461532,3547
48.,44225,255,744,3394,45555,184,1652,3991,1861,28,120,27,27,14,471283,3559
49.,44235,270,765,3450,45387,178,1636,4079,1872,25,145,23,32,8,480998,3555
50.,44237,263,750,3558,45241,164,1653,4134,1871,15,134,16,18,13,490696,3565
51.,44134,284,786,3661,45179,173,1617,4166,1937,20,141,41,40,16,500507,3563
52.,44005,291,740,3726,45152,177,1644,4265,1925,20,126,25,30,11,510328,3552
53.,43874,262,778,3772,45158,185,1594,4377,1908,23,118,22,28,10,520159,3523
54.,43862,280,764,3838,45018,172,1606,4460,1885,24,151,19,30,18,529974,3516
55.,43901,250,810,3926,44843,184,1552,4534,1893,30,135,20,24,13,539668,3521
56.,43806,273,752,3994,44782,178,1571,4644,1922,37,115,26,16,9,549439,3532
57.,43820,270,777,4117,44623,176,1559,4658,1971,24,147,17,25,10,559142,3545
58.,43714,271,779,4177,44590,164,1563,4742,1957,19,137,28,20,15,568810,3535
59.,43668,272,755,4227,44475,179,1591,4833,1940,20,130,30,24,17,578590,3515
60.,43716,276,726,4364,44274,187,1630,4827,1915,31,130,26,34,19,588580,3546
61.,43683,280,745,4393,44162,180,1619,4938,1899,19,121,27,18,20,598233,3559
62.,43726,279,766,4465,43967,171,1591,5035,1872,29,134,21,25,15,608073,3508
63.,43557,280,765,4570,43981,181,1577,5089,1860,25,119,25,24,18,617742,3530
64.,43555,268,766,4649,43839,171,1594,5158,1842,31,132,28,24,15,627547,3521
65.,43530,254,765,4743,43729,177,1610,5192,1823,24,130,16,33,8,637170,3512
66.,43474,261,771,4832,43636,181,1601,5244,1835,33,138,21,24,14,646808,3501
67.,43365,259,757,4944,43597,195,1592,5291,1836,32,128,32,27,12,656515,3497
68.,43314,291,752,4986,43498,186,1564,5409,1861,22,144,21,32,8,666341,3498
69.,43356,280,742,5051,43323,187,1557,5504,1839,29,123,30,26,12,675932,3507
70.,43126,273,744,5125,43407,191,1585,5549,1841,19,135,28,16,8,685782,3533
71.,43033,256,769,5200,43351,191,1594,5606,1870,24,124,27,26,15,695517,3525
72.,42925,239,752,5244,43332,177,1628,5703,1898,25,118,24,23,10,705311,3546
73.,42813,251,743,5338,43307,153,1631,5764,1887,30,124,26,22,12,715148,3551
74.,42824,251,715,5473,43151,162,1656,5768,1880,35,122,32,30,12,724950,3534
75.,42920,255,687,5553,42923,162,1626,5874,1881,28,114,19,20,12,734554,3569
76.,42902,265,692,5600,42822,148,1608,5963,1910,24,130,18,25,17,744183,3590
77.,43017,222,701,5634,42612,161,1573,6080,1880,18,88,32,23,10,754041,3554
78.,43065,240,688,5751,42436,157,1565,6098,1912,20,111,20,19,12,763789,3551
79.,42938,233,690,5846,42422,149,1594,6128,1937,28,132,17,20,17,773340,3555
80.,42885,243,713,5924,42341,150,1557,6187,1914,15,154,26,29,16,783044,3549
81.,42828,218,697,5981,42276,153,1585,6262,1903,24,122,22,26,10,792887,3552
82.,42827,231,696,6089,42142,150,1567,6298,1923,23,150,15,23,11,802620,3576
