# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '21' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-12-21.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '11' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '0.5' '-var' 'm' '500.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '1.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "743373609"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,97659,365,925,0,905,0,146,0,262,10458,354,196,5,313,506,502
2.,93202,598,948,2,4959,4,283,4,490,15592,592,405,41,895,926,926
3.,77737,758,1041,11,20026,16,399,12,675,7444,764,613,89,522,1339,1339
4.,68529,800,1146,26,28894,47,534,24,817,3213,829,816,163,265,1719,1719
5.,63549,808,1253,56,33544,67,681,42,950,2946,829,999,236,224,2049,2049
6.,59610,842,1334,96,37143,76,829,70,1076,3031,882,1198,332,177,2386,2386
7.,56324,914,1383,150,40033,79,990,127,1162,3066,970,1341,420,189,2668,2665
8.,52928,920,1424,206,43084,96,1152,190,1285,1867,949,1436,488,94,2964,2964
9.,50718,906,1411,283,44983,93,1352,254,1369,1500,932,1422,585,83,3247,3245
10.,48896,837,1388,364,46508,108,1535,364,1425,940,863,1290,669,44,3536,3536
11.,47948,803,1267,436,47178,136,1732,500,1475,630,787,1041,730,32,3738,3738
12.,47398,712,1243,488,47483,167,1877,632,1523,486,681,824,689,28,3946,3944
13.,47140,672,1157,551,47492,179,1998,811,1556,375,628,655,576,15,4139,4139
14.,47128,615,1169,601,47275,189,2044,979,1610,353,558,512,490,20,4338,4337
15.,47045,583,1168,675,47134,188,2088,1119,1692,386,517,446,430,34,4516,4514
16.,46838,620,1152,764,47079,185,2112,1250,1702,290,544,373,372,29,4700,4700
17.,46741,581,1157,879,46927,198,2139,1378,1733,281,510,342,310,20,4825,4824
18.,46585,577,1142,1011,46837,183,2150,1515,1720,248,480,303,268,11,4968,4968
19.,46717,557,1130,1127,46477,188,2158,1646,1724,231,476,258,195,14,5071,5070
20.,46632,525,1110,1259,46350,169,2187,1768,1756,206,443,229,190,15,5147,5146
21.,46504,520,1094,1369,46241,203,2173,1896,1794,179,440,211,172,12,5285,5285
22.,46527,504,1093,1524,45989,204,2155,2004,1803,200,392,225,177,15,5429,5429
23.,46425,538,1083,1687,45827,186,2173,2081,1793,161,437,211,177,13,5551,5551
24.,46516,515,1089,1831,45524,184,2154,2187,1800,167,402,187,183,17,5637,5635
25.,46593,487,1100,1969,45241,192,2101,2317,1786,158,355,200,151,11,5688,5688
26.,46608,489,1051,2072,44988,202,2128,2462,1789,145,371,182,134,16,5772,5772
27.,46486,485,1066,2177,44884,197,2116,2589,1787,131,384,174,132,17,5804,5804
28.,46421,477,1070,2336,44747,198,2096,2655,1838,125,346,146,151,9,5911,5911
29.,46397,479,1027,2440,44538,208,2101,2810,1854,113,343,136,120,8,5962,5962
30.,46536,463,1053,2563,44195,196,2085,2909,1877,115,341,133,114,8,6089,6089
31.,46436,442,1054,2667,44086,194,2102,3019,1852,130,326,124,116,9,6146,6145
32.,46453,470,1033,2826,43845,183,2099,3091,1871,126,346,127,115,11,6263,6261
33.,46414,468,1047,2954,43648,193,2090,3186,1859,141,355,148,116,11,6322,6322
34.,46418,456,1020,3056,43448,188,2102,3312,1811,113,316,149,117,8,6394,6394
35.,46410,457,1023,3183,43245,201,2067,3414,1836,123,326,155,124,7,6426,6426
36.,46526,453,1023,3306,42910,206,2049,3527,1843,101,340,128,129,16,6461,6459
37.,46388,428,1045,3452,42832,200,2037,3618,1869,127,317,134,99,9,6486,6485
38.,46257,451,1027,3601,42728,201,2016,3719,1884,96,339,146,121,9,6485,6484
39.,46228,427,1003,3713,42573,202,1998,3856,1868,108,310,106,89,13,6569,6568
40.,46208,441,1009,3851,42400,198,1955,3938,1843,135,301,126,104,11,6568,6568
41.,46102,450,1009,3950,42305,193,1924,4067,1847,125,299,114,116,9,6537,6535
42.,45969,446,1017,4059,42222,188,1890,4209,1813,124,308,131,120,13,6544,6542
43.,45773,460,1000,4179,42199,196,1884,4309,1841,114,311,138,107,11,6570,6568
44.,45705,447,1018,4335,42047,187,1898,4363,1843,113,343,115,112,12,6645,6645
45.,45728,454,1015,4432,41819,192,1915,4445,1859,121,319,107,112,7,6586,6586
46.,45777,457,1006,4529,41571,192,1914,4554,1899,108,306,119,119,11,6618,6617
47.,45585,468,994,4636,41544,190,1914,4669,1906,92,308,113,116,18,6611,6611
48.,45495,460,1018,4766,41428,185,1863,4785,1888,112,338,124,131,12,6667,6663
49.,45457,462,999,4908,41267,176,1879,4852,1903,105,334,148,129,8,6706,6706
50.,45363,451,1027,5027,41165,155,1880,4932,1911,152,336,145,134,12,6711,6709
51.,45184,434,1035,5104,41123,179,1893,5048,1883,115,313,141,104,9,6747,6742
