# Output of 'KaSim' '-mode' 'batch' '-u' 'time' '-p' '1' '--no-log' '-seed' '10' '-o' '/work/e661/e661/wwaites/rule-based-models//data/traj/lmic-case-19-10.dat' '-l' '365' '-var' 'N' '100000' '-var' 'case' '18' '-var' 'INIT_I' '1000.0' '-var' 'k_result' '12' '-var' 'm' '10000.0' '-var' 'thetaD' '0.0' '-var' 'thetaI' '0.142857142857' '-var' 'thetaT' '0.0' '/work/e661/e661/wwaites/rule-based-models//models/policies.ka'
# "uuid" : "385767951"
"[T]","Sn","En","In","Rn","Sy","Ey","Iy","Ry","F","Cs","Ce","Ci","Cr","Cf","T","Tbusy"
0.,99000,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0
1.,98223,380,956,0,326,1,114,0,253,10720,380,161,8,681,9906,764
2.,94683,640,1052,3,3408,1,212,1,455,11423,663,390,32,1622,19467,11150
3.,93234,793,1192,13,4419,17,322,10,669,2855,817,616,74,760,28078,28048
4.,89614,924,1266,39,7562,43,532,20,856,1425,940,790,153,393,35739,35726
5.,87446,1029,1407,70,9214,101,687,46,1033,812,1023,850,238,261,42856,42848
6.,86395,1094,1460,113,9752,133,949,104,1120,564,976,767,284,188,49362,49351
7.,86452,1189,1511,187,9138,163,1198,162,1217,376,853,574,317,156,55403,55387
8.,86476,1339,1637,289,8511,158,1351,239,1318,330,736,364,324,117,61059,61043
9.,86630,1451,1865,400,7708,179,1464,303,1369,305,687,262,268,109,66488,66476
10.,86839,1611,2098,547,6766,144,1612,383,1453,320,642,265,221,103,71779,71752
11.,87022,1785,2398,700,5729,162,1724,480,1486,272,580,240,201,74,76276,76225
12.,87254,2004,2638,901,4578,173,1860,592,1524,292,560,185,181,70,80841,80566
13.,86431,2297,2898,1117,4361,171,1977,748,1582,272,546,210,181,82,84939,83027
14.,84921,2579,3281,1385,4622,217,2113,882,1615,290,564,210,167,64,88978,85075
15.,83294,2796,3659,1674,4971,257,2325,1024,1643,265,510,213,196,65,93003,86921
16.,81775,3139,3996,2010,5138,259,2498,1185,1665,282,507,196,200,58,96741,88151
17.,80096,3432,4328,2386,5323,330,2730,1375,1698,292,443,212,198,50,100327,89210
18.,78245,3642,4797,2839,5627,364,2956,1530,1721,259,467,186,191,57,103992,90166
19.,76533,3882,5303,3307,5674,386,3188,1727,1751,284,442,176,192,43,107489,91021
20.,74515,4116,5820,3902,5875,426,3420,1926,1739,313,463,185,229,40,110790,91688
21.,72370,4510,6218,4516,6002,469,3727,2188,1750,303,461,190,192,38,114132,92373
22.,70200,4667,6640,5256,6188,543,4158,2348,1779,292,366,209,231,35,117424,92840
23.,68120,4892,7118,5928,6247,553,4480,2662,1803,287,371,187,186,16,120577,93432
24.,65970,5063,7535,6764,6271,582,4905,2910,1807,226,362,171,213,28,123921,93790
25.,63712,5351,7918,7655,6282,634,5234,3214,1835,249,346,179,213,19,127027,94080
26.,61401,5564,8333,8563,6394,625,5617,3503,1829,233,342,170,195,23,130365,94427
27.,59339,5713,8631,9522,6167,759,6040,3829,1844,219,297,150,177,15,133348,94591
28.,57058,5862,8865,10541,6156,794,6502,4222,1819,232,279,166,188,18,136716,94894
29.,54848,5955,9314,11684,6115,786,6699,4599,1788,241,258,144,168,23,139776,95021
30.,52785,5942,9626,12943,5965,771,6955,5013,1776,220,262,136,165,24,142902,95133
31.,50621,5914,9797,14196,5905,806,7361,5400,1763,188,250,106,160,24,146005,95303
32.,48613,5825,9914,15474,5819,794,7633,5928,1779,209,240,113,145,8,149151,95387
33.,46882,5737,10033,16759,5443,792,7956,6398,1805,179,225,126,133,12,152108,95398
34.,44976,5626,10162,18091,5298,760,8129,6958,1809,164,213,131,132,13,155087,95547
35.,43212,5414,10176,19519,5128,779,8366,7406,1836,181,194,121,163,9,158378,95594
36.,41394,5287,10193,21040,4998,758,8524,7806,1796,152,198,89,140,11,161470,95572
37.,39745,5170,10162,22499,4824,679,8653,8268,1815,160,194,84,123,8,164848,95642
38.,38486,5012,10080,23901,4408,664,8670,8779,1782,142,202,90,119,12,167992,95607
39.,36944,4850,9926,25401,4269,673,8717,9220,1811,129,186,100,106,15,170933,95531
40.,35494,4670,9830,27042,4123,625,8688,9528,1796,138,159,103,132,12,174196,95576
41.,34222,4536,9544,28570,3921,544,8724,9939,1789,124,147,53,108,10,177365,95398
42.,33048,4306,9327,30100,3680,580,8598,10361,1789,126,140,74,104,7,180694,95339
