Area name,Area code,Area type,Reporting date,Daily change in deaths,Cumulative deaths
Wales,W92000004,Nation,2020-05-20,14,1238
Scotland,S92000003,Nation,2020-05-20,29,2134
Northern Ireland,N92000002,Nation,2020-05-20,7,489
United Kingdom,K02000001,UK,2020-05-20,363,35704
England,E92000001,Nation,2020-05-20,313,31843
Wales,W92000004,Nation,2020-05-19,17,1224
Scotland,S92000003,Nation,2020-05-19,2,2105
Northern Ireland,N92000002,Nation,2020-05-19,6,482
United Kingdom,K02000001,UK,2020-05-19,545,35341
England,E92000001,Nation,2020-05-19,520,31530
Wales,W92000004,Nation,2020-05-18,4,1207
Scotland,S92000003,Nation,2020-05-18,9,2103
Northern Ireland,N92000002,Nation,2020-05-18,3,476
United Kingdom,K02000001,UK,2020-05-18,160,34796
England,E92000001,Nation,2020-05-18,144,31010
Wales,W92000004,Nation,2020-05-17,12,1203
Scotland,S92000003,Nation,2020-05-17,41,2094
Northern Ireland,N92000002,Nation,2020-05-17,4,473
United Kingdom,K02000001,UK,2020-05-17,170,34636
England,E92000001,Nation,2020-05-17,113,30866
Wales,W92000004,Nation,2020-05-16,18,1191
Scotland,S92000003,Nation,2020-05-16,46,2053
Northern Ireland,N92000002,Nation,2020-05-16,15,469
United Kingdom,K02000001,UK,2020-05-16,468,34466
England,E92000001,Nation,2020-05-16,389,30753
Wales,W92000004,Nation,2020-05-15,9,1173
Scotland,S92000003,Nation,2020-05-15,34,2007
Northern Ireland,N92000002,Nation,2020-05-15,5,454
United Kingdom,K02000001,UK,2020-05-15,384,33998
England,E92000001,Nation,2020-05-15,336,30364
Wales,W92000004,Nation,2020-05-14,10,1164
Scotland,S92000003,Nation,2020-05-14,61,1973
Northern Ireland,N92000002,Nation,2020-05-14,2,449
United Kingdom,K02000001,UK,2020-05-14,428,33614
England,E92000001,Nation,2020-05-14,355,30028
Wales,W92000004,Nation,2020-05-13,22,1154
Scotland,S92000003,Nation,2020-05-13,50,1912
Northern Ireland,N92000002,Nation,2020-05-13,9,447
United Kingdom,K02000001,UK,2020-05-13,494,33186
