t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.123973296934683397e+01	1.975105482415221880e+00	1.089724735885168494e+00	0.000000000000000000e+00	1.083942136627022812e+01	0.000000000000000000e+00	7.592027982620249693e-01	0.000000000000000000e+00	1.409189828313496662e+01	1.307988277215561901e+01	1.411756195508117928e+00	5.527707983925664870e-01	0.000000000000000000e+00	6.767646686010334633e+01	2.094432931739652659e+01	1.315822514205046190e+01
2.000000000000000000e+00	1.117688509454520016e+02	2.857738033247041010e+00	1.964529205687713942e+00	0.000000000000000000e+00	1.120172047797420589e+02	0.000000000000000000e+00	1.513251649777906493e+00	1.998263134713633704e-01	2.104356427086966619e+01	2.455517455084003586e+01	2.499652753661773641e+00	1.383810158784634536e+00	2.763853991962832990e-01	1.686280217586099184e+02	2.868894483168656961e+01	2.054872258803451857e+01
3.000000000000000000e+00	7.341502977743876954e+02	2.580643761200337227e+00	2.605749518959094679e+00	2.763853991962832990e-01	7.320780876306085929e+02	2.763853991962832990e-01	1.771690968789108256e+00	1.998263134713633704e-01	2.588834867700569120e+01	4.665206244696535265e+01	2.592724864350674618e+00	1.863389981249824467e+00	4.982608642958915590e-01	6.978646547783379219e+02	3.570792006762022908e+01	2.921186973360886086e+01
4.000000000000000000e+00	2.095791442589966664e+03	2.908022906069039681e+00	3.146592071855941253e+00	5.204164998665331554e-01	2.092941689328815301e+03	5.384519993050036479e-01	2.101173613853827948e+00	4.545296714431547591e-01	3.288859562556939409e+01	1.004052120022771533e+02	3.231517961165206732e+00	2.929436331826008821e+00	8.779711460710616366e-01	2.054139301710897143e+03	3.905302662904488642e+01	3.371479645496914657e+01
5.000000000000000000e+00	3.100420929083662486e+03	3.171049598406741499e+00	4.100939932909690278e+00	5.713045500334201776e-01	3.097553113334871341e+03	8.122328620674137412e-01	2.884043746778702122e+00	6.441510347391796731e-01	3.345828144454257824e+01	1.234024510719116705e+02	3.637908052713811902e+00	2.972092416687834859e+00	9.991315673568165190e-01	3.092411819175285927e+03	4.362129879237129160e+01	3.156859814576645107e+01
6.000000000000000000e+00	3.094288685986203291e+03	4.725631938928615661e+00	4.564354645876384176e+00	7.626252174051304511e-01	3.090271049555721675e+03	1.089724735885168494e+00	2.613732431260365363e+00	7.626252174051302291e-01	3.966997097581774767e+01	1.196398458220894412e+02	4.548923865414031376e+00	3.439708886260902876e+00	1.098452193872005545e+00	3.230985204065300422e+03	4.954709810428412453e+01	3.668446537705027310e+01
7.000000000000000000e+00	2.402328574861736342e+03	5.020617215265692046e+00	4.721221299150840878e+00	1.079319487249051468e+00	2.394830276983226213e+03	1.076903998610007074e+00	3.274480450731416692e+00	1.037491633165727567e+00	4.194631158463823795e+01	7.913428065636283293e+01	5.643949562732348824e+00	4.085033659592047783e+00	1.274073737618387936e+00	2.720498220493505869e+03	4.544586217565785091e+01	4.199305498134979331e+01
8.000000000000000000e+00	1.837129633403847265e+03	5.688530126491376571e+00	5.802148787781606032e+00	1.213351648213419676e+00	1.829919165165955292e+03	1.198957880828179778e+00	2.912795049432761019e+00	1.499421184620548742e+00	3.566384334619899477e+01	7.058976505525113510e+01	4.997221450188317426e+00	4.654746681256313856e+00	1.615355997915010722e+00	2.193784680004448546e+03	5.924558996714907977e+01	4.046275293402563022e+01
9.000000000000000000e+00	1.274791788554769028e+03	6.357273830468180620e+00	5.098338509314142897e+00	1.490711984999860240e+00	1.266299955140522343e+03	1.361677886530682668e+00	2.924988129130707382e+00	1.968060946436590797e+00	3.159498465825795321e+01	4.504133903673626804e+01	4.602988159880491814e+00	5.187458165828639167e+00	2.091235015221600602e+00	1.487910335560132580e+03	6.315039368224256577e+01	3.628415536505645633e+01
