t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
0.000000000000000000e+00	9.999000000000000000e+04	0.000000000000000000e+00	1.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	9.961737500000000000e+04	3.583333333333333481e+00	9.000000000000000000e+00	0.000000000000000000e+00	3.685416666666666856e+02	0.000000000000000000e+00	1.500000000000000000e+00	0.000000000000000000e+00	2.544166666666666572e+02	7.791666666666666963e+00	3.458333333333333481e+00	3.750000000000000000e-01	4.166666666666666435e-02	9.366666666666667140e+01	9.968916666666666060e+03	9.441666666666666288e+02
2.000000000000000000e+00	9.928462500000000000e+04	6.041666666666666963e+00	9.166666666666666075e+00	0.000000000000000000e+00	6.975416666666666288e+02	0.000000000000000000e+00	2.625000000000000000e+00	0.000000000000000000e+00	4.735833333333333144e+02	3.708333333333333481e+00	5.125000000000000000e+00	1.583333333333333259e+00	2.083333333333333426e-01	7.783333333333332860e+01	1.983820833333333212e+04	3.190291666666666515e+03
3.000000000000000000e+00	9.897729166666667152e+04	8.250000000000000000e+00	1.116666666666666607e+01	1.250000000000000000e-01	1.000083333333333371e+03	0.000000000000000000e+00	3.000000000000000000e+00	8.333333333333332871e-02	6.624166666666666288e+02	3.333333333333333481e+00	7.041666666666666963e+00	3.041666666666666519e+00	4.583333333333333148e-01	7.162500000000000000e+01	2.950712500000000000e+04	6.258375000000000000e+03
4.000000000000000000e+00	9.874629166666667152e+04	1.058333333333333393e+01	1.237500000000000000e+01	2.916666666666666852e-01	1.225500000000000000e+03	0.000000000000000000e+00	4.625000000000000000e+00	3.333333333333333148e-01	8.229166666666666288e+02	2.333333333333333481e+00	9.083333333333333925e+00	4.875000000000000000e+00	7.500000000000000000e-01	6.529166666666667140e+01	3.892800000000000000e+04	9.863250000000000000e+03
5.000000000000000000e+00	9.851762500000000000e+04	1.279166666666666607e+01	1.450000000000000000e+01	6.250000000000000000e-01	1.447916666666666742e+03	8.333333333333332871e-02	6.000000000000000000e+00	4.583333333333333148e-01	9.688333333333333712e+02	1.708333333333333259e+00	1.033333333333333393e+01	6.541666666666666963e+00	1.375000000000000000e+00	6.445833333333332860e+01	4.812358333333333576e+04	1.385529166666666606e+04
6.000000000000000000e+00	9.835733333333332848e+04	1.575000000000000000e+01	1.737500000000000000e+01	9.166666666666666297e-01	1.600166666666666742e+03	8.333333333333332871e-02	7.541666666666666963e+00	8.333333333333333703e-01	1.086541666666666742e+03	2.083333333333333481e+00	1.287500000000000000e+01	7.958333333333333037e+00	1.958333333333333259e+00	6.033333333333333570e+01	5.698108333333333576e+04	1.793941666666666788e+04
7.000000000000000000e+00	9.821179166666667152e+04	1.675000000000000000e+01	1.991666666666666785e+01	1.750000000000000000e+00	1.738583333333333258e+03	2.916666666666666852e-01	9.666666666666666075e+00	1.250000000000000000e+00	1.184166666666666742e+03	1.833333333333333259e+00	1.387500000000000000e+01	9.208333333333333925e+00	2.541666666666666519e+00	5.450000000000000000e+01	6.552841666666666424e+04	2.203487500000000000e+04
8.000000000000000000e+00	9.806179166666667152e+04	2.016666666666666785e+01	2.258333333333333215e+01	2.875000000000000000e+00	1.879333333333333258e+03	2.500000000000000000e-01	1.075000000000000000e+01	2.250000000000000000e+00	1.274833333333333258e+03	2.250000000000000000e+00	1.587500000000000000e+01	1.104166666666666607e+01	3.166666666666666519e+00	5.433333333333333570e+01	7.382733333333332848e+04	2.601200000000000000e+04
9.000000000000000000e+00	9.795250000000000000e+04	2.229166666666666785e+01	2.579166666666666785e+01	4.000000000000000000e+00	1.978125000000000000e+03	7.083333333333333703e-01	1.350000000000000000e+01	3.083333333333333481e+00	1.353791666666666742e+03	2.125000000000000000e+00	1.862500000000000000e+01	1.291666666666666607e+01	3.708333333333333481e+00	5.350000000000000000e+01	8.181004166666667152e+04	2.976687500000000000e+04
1.000000000000000000e+01	9.784779166666667152e+04	2.591666666666666785e+01	2.804166666666666785e+01	6.125000000000000000e+00	2.070416666666666515e+03	6.250000000000000000e-01	1.737500000000000000e+01	3.708333333333333481e+00	1.426750000000000000e+03	2.375000000000000000e+00	2.075000000000000000e+01	1.525000000000000000e+01	4.791666666666666963e+00	4.729166666666666430e+01	8.957670833333332848e+04	3.333425000000000000e+04
1.100000000000000000e+01	9.774637500000000000e+04	2.920833333333333215e+01	3.079166666666666785e+01	7.666666666666666963e+00	2.159500000000000000e+03	7.083333333333333703e-01	2.054166666666666785e+01	5.208333333333333037e+00	1.495041666666666742e+03	2.041666666666666519e+00	2.195833333333333215e+01	1.787500000000000000e+01	5.791666666666666963e+00	4.820833333333333570e+01	9.711087500000000000e+04	3.665258333333333576e+04
1.200000000000000000e+01	9.764579166666667152e+04	3.395833333333333570e+01	3.520833333333333570e+01	9.208333333333333925e+00	2.244583333333333485e+03	7.500000000000000000e-01	2.370833333333333215e+01	6.791666666666666963e+00	1.543083333333333258e+03	2.958333333333333481e+00	2.616666666666666785e+01	1.904166666666666785e+01	6.416666666666666963e+00	4.625000000000000000e+01	1.043810416666666715e+05	3.970637500000000000e+04
1.300000000000000000e+01	9.757441666666667152e+04	3.920833333333333570e+01	3.837500000000000000e+01	1.216666666666666607e+01	2.298583333333333485e+03	1.333333333333333259e+00	2.779166666666666785e+01	8.125000000000000000e+00	1.587833333333333258e+03	2.708333333333333481e+00	2.866666666666666785e+01	2.162500000000000000e+01	7.375000000000000000e+00	4.529166666666666430e+01	1.114327083333333285e+05	4.249325000000000000e+04
1.400000000000000000e+01	9.751341666666667152e+04	4.345833333333333570e+01	4.412500000000000000e+01	1.545833333333333393e+01	2.340916666666666515e+03	7.916666666666666297e-01	3.075000000000000000e+01	1.108333333333333393e+01	1.626750000000000000e+03	2.250000000000000000e+00	2.958333333333333215e+01	2.308333333333333215e+01	8.416666666666666075e+00	4.533333333333333570e+01	1.182972916666666715e+05	4.501408333333333576e+04
1.500000000000000000e+01	9.740558333333332848e+04	4.866666666666666430e+01	4.950000000000000000e+01	1.858333333333333215e+01	2.428083333333333485e+03	1.333333333333333259e+00	3.466666666666666430e+01	1.358333333333333393e+01	1.660458333333333258e+03	2.583333333333333481e+00	3.112500000000000000e+01	2.337500000000000000e+01	9.333333333333333925e+00	4.141666666666666430e+01	1.249932083333333285e+05	4.726629166666666424e+04
1.600000000000000000e+01	9.735229166666667152e+04	5.333333333333333570e+01	5.570833333333333570e+01	2.337500000000000000e+01	2.457875000000000000e+03	1.625000000000000000e+00	3.945833333333333570e+01	1.633333333333333215e+01	1.695583333333333258e+03	2.875000000000000000e+00	3.595833333333333570e+01	2.345833333333333215e+01	9.125000000000000000e+00	3.987500000000000000e+01	1.315288750000000000e+05	4.932450000000000000e+04
1.700000000000000000e+01	9.726862500000000000e+04	5.829166666666666430e+01	6.358333333333333570e+01	2.866666666666666785e+01	2.515250000000000000e+03	2.000000000000000000e+00	4.370833333333333570e+01	1.987500000000000000e+01	1.726416666666666742e+03	2.541666666666666519e+00	3.912500000000000000e+01	2.483333333333333215e+01	9.625000000000000000e+00	3.762500000000000000e+01	1.379317083333333430e+05	5.118037500000000000e+04
1.800000000000000000e+01	9.720470833333332848e+04	6.600000000000000000e+01	7.050000000000000000e+01	3.525000000000000000e+01	2.550708333333333485e+03	1.333333333333333259e+00	4.816666666666666430e+01	2.333333333333333215e+01	1.745583333333333258e+03	3.833333333333333481e+00	4.170833333333333570e+01	2.504166666666666785e+01	1.020833333333333393e+01	3.779166666666666430e+01	1.441917083333333430e+05	5.280483333333333576e+04
1.900000000000000000e+01	9.713004166666667152e+04	7.400000000000000000e+01	7.766666666666667140e+01	4.179166666666666430e+01	2.592541666666666515e+03	1.833333333333333259e+00	5.525000000000000000e+01	2.687500000000000000e+01	1.768791666666666742e+03	3.458333333333333481e+00	4.558333333333333570e+01	2.662500000000000000e+01	1.054166666666666607e+01	4.037500000000000000e+01	1.503685000000000000e+05	5.429595833333333576e+04
2.000000000000000000e+01	9.705062500000000000e+04	8.150000000000000000e+01	8.754166666666667140e+01	4.950000000000000000e+01	2.636375000000000000e+03	2.500000000000000000e+00	6.175000000000000000e+01	3.020833333333333215e+01	1.781541666666666742e+03	3.500000000000000000e+00	4.758333333333333570e+01	2.779166666666666785e+01	1.125000000000000000e+01	3.587500000000000000e+01	1.564016666666666570e+05	5.559791666666666424e+04
2.100000000000000000e+01	9.697704166666667152e+04	9.041666666666667140e+01	9.541666666666667140e+01	5.766666666666666430e+01	2.671291666666666515e+03	3.541666666666666519e+00	7.016666666666667140e+01	3.445833333333333570e+01	1.794250000000000000e+03	3.833333333333333481e+00	4.870833333333333570e+01	2.595833333333333215e+01	1.070833333333333393e+01	3.495833333333333570e+01	1.624087916666666570e+05	5.677325000000000000e+04
2.200000000000000000e+01	9.688829166666667152e+04	9.995833333333332860e+01	1.073333333333333286e+02	6.862500000000000000e+01	2.716666666666666515e+03	2.958333333333333481e+00	7.570833333333332860e+01	4.045833333333333570e+01	1.801250000000000000e+03	4.958333333333333037e+00	5.404166666666666430e+01	2.491666666666666785e+01	9.875000000000000000e+00	3.408333333333333570e+01	1.683345000000000000e+05	5.784479166666666424e+04
2.300000000000000000e+01	9.681595833333332848e+04	1.115416666666666714e+02	1.164583333333333286e+02	8.154166666666667140e+01	2.741916666666666515e+03	3.875000000000000000e+00	8.304166666666667140e+01	4.566666666666666430e+01	1.820583333333333258e+03	4.833333333333333037e+00	5.795833333333333570e+01	2.437500000000000000e+01	8.500000000000000000e+00	3.345833333333333570e+01	1.741471666666666570e+05	5.881025000000000000e+04
2.400000000000000000e+01	9.675037500000000000e+04	1.254583333333333286e+02	1.282083333333333428e+02	9.458333333333332860e+01	2.753875000000000000e+03	5.166666666666666963e+00	9.116666666666667140e+01	5.116666666666666430e+01	1.829791666666666742e+03	5.625000000000000000e+00	5.987500000000000000e+01	2.383333333333333215e+01	8.916666666666666075e+00	3.062500000000000000e+01	1.799064583333333430e+05	5.967241666666666424e+04
2.500000000000000000e+01	9.662704166666667152e+04	1.367500000000000000e+02	1.443333333333333428e+02	1.099166666666666714e+02	2.820125000000000000e+03	5.166666666666666963e+00	9.962500000000000000e+01	5.704166666666666430e+01	1.841791666666666742e+03	4.875000000000000000e+00	6.279166666666666430e+01	2.316666666666666785e+01	7.583333333333333037e+00	3.125000000000000000e+01	1.855965000000000000e+05	6.043979166666666424e+04
2.600000000000000000e+01	9.653204166666667152e+04	1.498750000000000000e+02	1.624166666666666572e+02	1.256666666666666714e+02	2.852250000000000000e+03	5.458333333333333037e+00	1.070416666666666714e+02	6.525000000000000000e+01	1.849958333333333258e+03	5.625000000000000000e+00	6.450000000000000000e+01	2.166666666666666785e+01	6.916666666666666963e+00	3.079166666666666785e+01	1.912560416666666570e+05	6.118570833333333576e+04
2.700000000000000000e+01	9.643445833333332848e+04	1.666250000000000000e+02	1.805833333333333428e+02	1.450833333333333428e+02	2.877083333333333485e+03	6.625000000000000000e+00	1.168750000000000000e+02	7.266666666666667140e+01	1.851583333333333258e+03	5.500000000000000000e+00	7.112500000000000000e+01	2.108333333333333215e+01	6.250000000000000000e+00	2.758333333333333215e+01	1.968452916666666570e+05	6.189950000000000000e+04
2.800000000000000000e+01	9.630825000000000000e+04	1.846250000000000000e+02	2.025000000000000000e+02	1.678333333333333428e+02	2.921375000000000000e+03	8.916666666666666075e+00	1.273750000000000000e+02	7.912500000000000000e+01	1.853291666666666742e+03	6.833333333333333037e+00	7.262500000000000000e+01	2.041666666666666785e+01	6.250000000000000000e+00	2.520833333333333215e+01	2.024138750000000000e+05	6.260333333333333576e+04
2.900000000000000000e+01	9.618658333333332848e+04	2.042916666666666572e+02	2.231666666666666572e+02	1.924583333333333428e+02	2.954625000000000000e+03	9.916666666666666075e+00	1.423333333333333428e+02	8.662500000000000000e+01	1.852833333333333258e+03	7.041666666666666963e+00	7.308333333333332860e+01	1.837500000000000000e+01	5.333333333333333037e+00	2.662500000000000000e+01	2.079085000000000000e+05	6.324604166666666424e+04
3.000000000000000000e+01	9.603037500000000000e+04	2.257083333333333428e+02	2.484583333333333428e+02	2.174583333333333428e+02	3.012875000000000000e+03	1.066666666666666607e+01	1.578333333333333428e+02	9.662500000000000000e+01	1.855291666666666742e+03	7.500000000000000000e+00	7.304166666666667140e+01	1.937500000000000000e+01	7.250000000000000000e+00	2.504166666666666785e+01	2.133447916666666570e+05	6.389291666666666424e+04
3.100000000000000000e+01	9.587954166666667152e+04	2.514583333333333428e+02	2.778750000000000000e+02	2.470000000000000000e+02	3.052000000000000000e+03	1.204166666666666607e+01	1.747500000000000000e+02	1.053333333333333286e+02	1.859166666666666742e+03	7.291666666666666963e+00	7.487500000000000000e+01	1.845833333333333215e+01	6.291666666666666963e+00	2.825000000000000000e+01	2.187786666666666570e+05	6.451750000000000000e+04
3.200000000000000000e+01	9.570554166666667152e+04	2.821666666666666856e+02	3.150000000000000000e+02	2.788750000000000000e+02	3.096625000000000000e+03	1.525000000000000000e+01	1.911250000000000000e+02	1.154166666666666714e+02	1.856500000000000000e+03	8.291666666666666075e+00	8.137500000000000000e+01	1.695833333333333215e+01	7.416666666666666963e+00	2.425000000000000000e+01	2.241477916666666570e+05	6.514795833333333576e+04
3.300000000000000000e+01	9.552983333333332848e+04	3.144583333333333144e+02	3.522083333333333144e+02	3.142083333333333144e+02	3.132791666666666515e+03	1.729166666666666785e+01	2.089166666666666572e+02	1.302916666666666572e+02	1.863041666666666742e+03	8.833333333333333925e+00	8.466666666666667140e+01	1.745833333333333215e+01	7.500000000000000000e+00	2.345833333333333215e+01	2.295003750000000000e+05	6.579416666666667152e+04
3.400000000000000000e+01	9.531058333333332848e+04	3.559166666666666856e+02	3.873750000000000000e+02	3.532083333333333144e+02	3.196666666666666515e+03	1.916666666666666785e+01	2.338750000000000000e+02	1.432083333333333428e+02	1.860375000000000000e+03	9.083333333333333925e+00	7.858333333333332860e+01	1.554166666666666607e+01	7.916666666666666963e+00	2.562500000000000000e+01	2.347783333333333430e+05	6.644337500000000000e+04
3.500000000000000000e+01	9.508445833333332848e+04	3.961250000000000000e+02	4.388333333333333144e+02	4.005000000000000000e+02	3.246291666666666515e+03	2.200000000000000000e+01	2.551250000000000000e+02	1.566666666666666572e+02	1.864708333333333258e+03	1.095833333333333393e+01	7.937500000000000000e+01	1.504166666666666607e+01	8.583333333333333925e+00	2.150000000000000000e+01	2.400316666666666570e+05	6.716245833333332848e+04
