t	Sn	En	In	Rn	Sy	Ey	Iy	Ry	F	Cs	Ce	Ci	Cr	Cf	T	Tbusy
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	1.367814342807125740e+03	1.797374628605721725e+01	1.885967921254229651e+01	6.236095644623236289e-01	1.364483479170985220e+03	9.860132971832692439e-01	1.604025967855744028e+01	4.330127018922192983e-01	1.366946109642463725e+01	1.361764355430932255e+03	1.922599513390370518e+01	1.499444341525664370e+01	2.702879123371142445e+00	8.354672677942299686e+01	2.122952444906228564e+01	1.549187735198316318e+01
2.000000000000000000e+00	5.126043728408445759e+02	2.357552874392333919e+01	1.774192891617669332e+01	1.653594569415369087e+00	5.094660331061227225e+02	5.265189666310438277e+00	1.706111359853811393e+01	1.499421184620548519e+00	2.477562506219010174e+01	5.876815662107234175e+02	2.104125412136833617e+01	2.121058435991071178e+01	6.204696921598096715e+00	8.789031003029982969e+01	3.049154595949506685e+01	2.298516278674861368e+01
3.000000000000000000e+00	3.247244959406186808e+02	2.617409660968900198e+01	2.766136369860796762e+01	3.487826050071241468e+00	3.091637466169379991e+02	9.354050667432206367e+00	1.945717341296577629e+01	3.194776552784595047e+00	2.390225320620073646e+01	4.637498128181712786e+01	2.649790348100937720e+01	3.161923531122576847e+01	8.859140759689960731e+00	1.532132682098895948e+01	3.339013389710599711e+01	2.874987922679947161e+01
4.000000000000000000e+00	3.743660729783378542e+02	2.495440286246541817e+01	2.763348286047200375e+01	5.102933524508776131e+00	3.494415385853388898e+02	1.296730664658882226e+01	3.098745265784559777e+01	4.999305507323548170e+00	3.109235235552305454e+01	2.115600124997370202e+01	2.949549753775989558e+01	2.765483557274487936e+01	8.308191239172739273e+00	8.853749990195618480e+00	3.970962309902559184e+01	3.376008079900810088e+01
5.000000000000000000e+00	3.893671659636384561e+02	2.517518481671098840e+01	2.521725048894550625e+01	6.054727262414238531e+00	3.639638618164354966e+02	1.351844162205425626e+01	3.262005071015882152e+01	9.015322604691785813e+00	2.963950067055786164e+01	1.166123385409965962e+01	2.672649538483404896e+01	2.024498394664712819e+01	8.707834913966209456e+00	7.492588930996340935e+00	4.834683719403645341e+01	3.722153554507569595e+01
6.000000000000000000e+00	3.824554712643028438e+02	1.934123401785246088e+01	2.038109145479919704e+01	7.440038082339811787e+00	3.578383014714886485e+02	1.985922679483994813e+01	2.523596969935307754e+01	1.397393406787556458e+01	3.096029603468861424e+01	7.750896005552447399e+00	1.940785744371478927e+01	1.586526385605427691e+01	8.447447839436476258e+00	4.152475834433664303e+00	5.532440628290154905e+01	3.485323892967321768e+01
7.000000000000000000e+00	3.975907653186460493e+02	1.860107523773827509e+01	2.254990607272874570e+01	7.708220719898117856e+00	3.673178096198017784e+02	2.024485531355229639e+01	3.047631138368873494e+01	1.752062276924602457e+01	2.895530559711332330e+01	8.256205578566678582e+00	1.719087088156579313e+01	9.004532037936353817e+00	8.192878852325895522e+00	3.886407938787006078e+00	6.672221644000345009e+01	3.841404546372184825e+01
8.000000000000000000e+00	3.733425384839861181e+02	1.256476278681332204e+01	2.605599605763624638e+01	9.469156802775817283e+00	3.361428655224838735e+02	1.769808526994437869e+01	2.423119975706251950e+01	1.970599880465055165e+01	3.295385557445778346e+01	6.681234084275814666e+00	1.467897211054718909e+01	6.557306145734609792e+00	8.209813741289547551e+00	5.273097339852125032e+00	6.682459159371396140e+01	3.587127351919483687e+01
9.000000000000000000e+00	3.884577322209228214e+02	1.794779273027435096e+01	3.213988522416068605e+01	1.543984743735794929e+01	3.519468374469201990e+02	1.762258651718173752e+01	2.518759477511807887e+01	1.989329172247658661e+01	3.939005444130394551e+01	5.892556509887896254e+00	1.234571450612181742e+01	8.097924974268956078e+00	7.155878508067490706e+00	4.690230686105842928e+00	6.535574392422512346e+01	3.956113412597436252e+01
1.000000000000000000e+01	4.110925399333937094e+02	1.679652535165796934e+01	2.790456827395033201e+01	1.488567544095105433e+01	3.647768343643671187e+02	1.617090794881007554e+01	3.068588052979560032e+01	2.121516753017362689e+01	4.111636603051825745e+01	6.753471329620049701e+00	1.311904626868889423e+01	7.092640943651070451e+00	5.641488180337604241e+00	4.192420409368422085e+00	6.751414460853534649e+01	4.389996124397175237e+01
1.100000000000000000e+01	4.276523100181839254e+02	1.863012606565565221e+01	2.192205257016068742e+01	1.718278975861861824e+01	3.787610811543633531e+02	1.470166279333357906e+01	2.730333719936488279e+01	2.386405362790562279e+01	4.319231863293390461e+01	4.555216789572149594e+00	1.277258348529728416e+01	5.335936864527373480e+00	5.729886318437934278e+00	3.730272182502980982e+00	8.567428630186149974e+01	4.351237052711434927e+01
1.200000000000000000e+01	3.917864710386116940e+02	1.284090685617214866e+01	2.034387534096905981e+01	2.055442470613079564e+01	3.490820899953985759e+02	1.727348441655269795e+01	3.175546759571053812e+01	2.496633149530249440e+01	3.406203491017854645e+01	4.669641908707300892e+00	1.312731461072251626e+01	4.847679857416329341e+00	5.209499869362594460e+00	4.165833249983329267e+00	8.638133117172945674e+01	4.847019058142849701e+01
1.300000000000000000e+01	3.467189864365023482e+02	1.512718074269697510e+01	1.947429751977947276e+01	2.143578912836090211e+01	3.058587608639357427e+02	1.377497731395590996e+01	3.466496390048924070e+01	2.742461257702649746e+01	3.934533715137735754e+01	4.370831347314451776e+00	1.203460000258513851e+01	5.964594612284131792e+00	5.453719423985392112e+00	3.684615161572357245e+00	7.733459050702272464e+01	4.888931305055897525e+01
1.400000000000000000e+01	2.953867051096842715e+02	1.452147595421653037e+01	2.670046686025462535e+01	2.463553779039991554e+01	2.533950993782020475e+02	1.317292836337716722e+01	3.261251889825268790e+01	3.356996735675108567e+01	3.918915577753054436e+01	4.361288036043174721e+00	1.485198967216925325e+01	4.706489314411185454e+00	4.017323597731316198e+00	4.969175820328088911e+00	8.294258388923161363e+01	5.015294316720937218e+01
1.500000000000000000e+01	2.882770176217467792e+02	1.568256064338133982e+01	2.763338862077299751e+01	2.404419397461451169e+01	2.465678152152060534e+02	1.562977704753191688e+01	4.150600274525226752e+01	3.455460654288127387e+01	4.309999274941934289e+01	4.374801582802229305e+00	1.103584752321069118e+01	5.851756621353588095e+00	4.079079416840138528e+00	3.291402943021916716e+00	7.944126717616956057e+01	5.039400317057134515e+01
1.600000000000000000e+01	2.496230456719802930e+02	1.908201414654356753e+01	2.255360127685943539e+01	2.165059500080515065e+01	2.085438561323626061e+02	1.379154078492400437e+01	4.517304690483769747e+01	3.436527640252907645e+01	3.995655192414213985e+01	5.081112903029545436e+00	1.003734346771539343e+01	4.240798863421843201e+00	4.791304334126796682e+00	3.622604572526359590e+00	7.701785507270375319e+01	4.335576342566490382e+01
1.700000000000000000e+01	2.318071778619750489e+02	2.059867849051379451e+01	2.126747647361001370e+01	1.810770247405475786e+01	1.891051983464935518e+02	1.813299632039767317e+01	3.742845026031519495e+01	3.722640938306507508e+01	3.388212307233549581e+01	4.380353866983807798e+00	1.221274095634008994e+01	4.081632298752818855e+00	5.227464862520732503e+00	3.590109871423002197e+00	8.254657776068006569e+01	4.791092356887124737e+01
